COU,Country,Year,Life Expectancy at Birth,Population
CAN,Canada,1984,76.2,25607053.0
CAN,Canada,1985,76.3,25842116.0
CAN,Canada,1986,76.5,26100278.0
CAN,Canada,1987,76.6,26446601.0
CAN,Canada,1988,76.8,26791747.0
CAN,Canada,1989,77.0,27276781.0
CAN,Canada,1990,77.2,27691138.0
CAN,Canada,1991,77.5,28037420.0
CAN,Canada,1992,77.7,28371264.0
CAN,Canada,1993,77.8,28684764.0
CAN,Canada,1994,77.9,29000663.0
CAN,Canada,1995,77.9,29302311.0
CAN,Canada,1996,78.1,29610218.0
CAN,Canada,1997,78.3,29905948.0
CAN,Canada,1998,78.5,30155173.0
CAN,Canada,1999,78.7,30401286.0
CAN,Canada,2000,79.0,30685730.0
CAN,Canada,2001,79.2,31020902.0
CAN,Canada,2002,79.4,31360079.0
CAN,Canada,2003,79.6,31644028.0
CAN,Canada,2004,79.8,31940655.0
CAN,Canada,2005,80.0,32243753.0
CAN,Canada,2006,80.3,32571174.0
CAN,Canada,2007,80.4,32889025.0
CAN,Canada,2008,80.6,33247118.0
CAN,Canada,2009,80.8,33628895.0
CAN,Canada,2010,81.1,34004889.0
CAN,Canada,2011,81.3,34339328.0
CAN,Canada,2012,81.5,34714222.0
CAN,Canada,2013,81.7,35082954.0
CAN,Canada,2014,81.8,35437435.0
CAN,Canada,2015,81.9,35702908.0
CAN,Canada,2016,82.0,36109487.0
CAN,Canada,2017,82.0,36540268.0
CAN,Canada,2018,82.0,37058856.0
CZE,Czech Republic,1964,70.7,9730019.0
CZE,Czech Republic,1965,70.4,9785102.0
CZE,Czech Republic,1966,70.6,9826188.0
CZE,Czech Republic,1967,70.5,9854241.0
CZE,Czech Republic,1968,70.1,9877632.0
CZE,Czech Republic,1969,69.6,9896695.0
CZE,Czech Republic,1970,69.6,9805157.0
CZE,Czech Republic,1971,69.8,9830602.0
CZE,Czech Republic,1972,70.3,9868379.0
CZE,Czech Republic,1973,70.2,9919519.0
CZE,Czech Republic,1974,70.2,9994761.0
CZE,Czech Republic,1975,70.6,10062366.0
CZE,Czech Republic,1976,70.7,10128220.0
CZE,Czech Republic,1977,70.8,10189312.0
CZE,Czech Republic,1978,70.9,10245686.0
CZE,Czech Republic,1979,70.9,10296489.0
CZE,Czech Republic,1980,70.5,10326792.0
CZE,Czech Republic,1981,70.8,10303208.0
CZE,Czech Republic,1982,70.9,10314321.0
CZE,Czech Republic,1983,70.8,10322823.0
CZE,Czech Republic,1984,71.0,10330481.0
CZE,Czech Republic,1985,71.2,10336742.0
CZE,Czech Republic,1986,71.1,10340737.0
CZE,Czech Republic,1987,71.6,10348834.0
CZE,Czech Republic,1988,71.8,10356359.0
CZE,Czech Republic,1989,71.9,10362257.0
CZE,Czech Republic,1990,71.6,10362740.0
CZE,Czech Republic,1991,72.0,10308682.0
CZE,Czech Republic,1992,72.5,10317807.0
CZE,Czech Republic,1993,72.9,10330607.0
CZE,Czech Republic,1994,73.2,10336162.0
CZE,Czech Republic,1995,73.3,10330759.0
CZE,Czech Republic,1996,74.0,10315353.0
CZE,Czech Republic,1997,74.1,10303642.0
CZE,Czech Republic,1998,74.7,10294943.0
CZE,Czech Republic,1999,74.9,10282784.0
CZE,Czech Republic,2000,75.1,10272503.0
CZE,Czech Republic,2001,75.3,10224192.0
CZE,Czech Republic,2002,75.4,10200774.0
CZE,Czech Republic,2003,75.3,10201651.0
CZE,Czech Republic,2004,75.8,10206923.0
CZE,Czech Republic,2005,76.1,10234092.0
CZE,Czech Republic,2006,76.7,10266646.0
CZE,Czech Republic,2007,77.0,10322689.0
CZE,Czech Republic,2008,77.3,10429692.0
CZE,Czech Republic,2009,77.4,10491492.0
CZE,Czech Republic,2010,77.7,10517247.0
CZE,Czech Republic,2011,78.0,10496672.0
CZE,Czech Republic,2012,78.2,10509286.0
CZE,Czech Republic,2013,78.3,10510719.0
CZE,Czech Republic,2014,78.9,10524783.0
CZE,Czech Republic,2015,78.7,10542942.0
CZE,Czech Republic,2016,79.1,10565284.0
CZE,Czech Republic,2017,79.1,10589526.0
CZE,Czech Republic,2018,79.1,10626430.0
,Denmark,1964,65.31290322580645,4722074.0
,Denmark,1965,65.55161290322582,4759011.0
,Denmark,1966,66.05625,4797381.0
DNK,Denmark,1967,72.6,4835358.0
DNK,Denmark,1968,73.0,4864879.0
DNK,Denmark,1969,73.2,4891860.0
DNK,Denmark,1970,73.3,4928748.0
DNK,Denmark,1971,73.3,4963126.0
DNK,Denmark,1972,73.4,4991596.0
DNK,Denmark,1973,73.6,5021862.0
DNK,Denmark,1974,74.0,5045298.0
DNK,Denmark,1975,74.2,5059862.0
DNK,Denmark,1976,73.9,5072597.0
DNK,Denmark,1977,74.9,5088420.0
DNK,Denmark,1978,74.6,5104248.0
DNK,Denmark,1979,74.4,5116802.0
DNK,Denmark,1980,74.3,5123027.0
DNK,Denmark,1981,74.4,5121572.0
DNK,Denmark,1982,74.7,5117810.0
DNK,Denmark,1983,74.6,5114297.0
DNK,Denmark,1984,74.8,5111619.0
DNK,Denmark,1985,74.6,5113691.0
DNK,Denmark,1986,74.8,5120534.0
DNK,Denmark,1987,74.9,5127024.0
DNK,Denmark,1988,75.0,5129517.0
DNK,Denmark,1989,75.0,5132594.0
DNK,Denmark,1990,74.9,5140939.0
DNK,Denmark,1991,75.3,5154298.0
DNK,Denmark,1992,75.3,5171370.0
DNK,Denmark,1993,75.2,5189377.0
DNK,Denmark,1994,75.5,5204994.0
DNK,Denmark,1995,75.3,5227861.0
DNK,Denmark,1996,75.7,5261503.0
DNK,Denmark,1997,76.1,5284220.0
DNK,Denmark,1998,76.5,5301304.0
DNK,Denmark,1999,76.6,5319111.0
DNK,Denmark,2000,76.9,5337344.0
DNK,Denmark,2001,77.0,5355082.0
DNK,Denmark,2002,77.1,5374255.0
DNK,Denmark,2003,77.4,5387174.0
DNK,Denmark,2004,77.8,5401177.0
DNK,Denmark,2005,78.3,5415978.0
DNK,Denmark,2006,78.4,5434567.0
DNK,Denmark,2007,78.4,5457415.0
DNK,Denmark,2008,78.8,5489022.0
DNK,Denmark,2009,79.0,5519441.0
DNK,Denmark,2010,79.3,5543819.0
DNK,Denmark,2011,79.9,5566856.0
DNK,Denmark,2012,80.1,5587085.0
DNK,Denmark,2013,80.4,5608784.0
DNK,Denmark,2014,80.8,5639719.0
DNK,Denmark,2015,80.8,5678348.0
DNK,Denmark,2016,80.9,5724456.0
DNK,Denmark,2017,81.2,5760694.0
DNK,Denmark,2018,81.0,5789957.0
,Finland,1964,65.31290322580645,4548545.0
,Finland,1965,65.55161290322582,4563732.0
,Finland,1966,66.05625,4580868.0
,Finland,1967,66.396875,4605743.0
FIN,Finland,1968,69.8,4626471.0
,Finland,1969,66.69687499999998,4623785.0
FIN,Finland,1970,70.8,4606304.0
FIN,Finland,1971,70.1,4612124.0
FIN,Finland,1972,70.7,4639656.0
FIN,Finland,1973,71.2,4666079.0
FIN,Finland,1974,71.2,4690575.0
FIN,Finland,1975,71.7,4711440.0
FIN,Finland,1976,72.0,4725665.0
FIN,Finland,1977,72.4,4738900.0
FIN,Finland,1978,73.0,4752527.0
FIN,Finland,1979,73.2,4764691.0
FIN,Finland,1980,73.6,4779537.0
FIN,Finland,1981,73.9,4799962.0
FIN,Finland,1982,74.6,4826931.0
FIN,Finland,1983,74.4,4855786.0
FIN,Finland,1984,74.8,4881806.0
FIN,Finland,1985,74.5,4902202.0
FIN,Finland,1986,74.8,4918150.0
FIN,Finland,1987,74.8,4932123.0
FIN,Finland,1988,74.8,4946487.0
FIN,Finland,1989,75.0,4964370.0
FIN,Finland,1990,75.0,4986433.0
FIN,Finland,1991,75.5,5013737.0
FIN,Finland,1992,75.7,5041990.0
FIN,Finland,1993,75.8,5066452.0
FIN,Finland,1994,76.6,5088324.0
FIN,Finland,1995,76.6,5107787.0
FIN,Finland,1996,76.9,5124573.0
FIN,Finland,1997,77.1,5139839.0
FIN,Finland,1998,77.3,5153499.0
FIN,Finland,1999,77.5,5165470.0
FIN,Finland,2000,77.7,5176203.0
FIN,Finland,2001,78.2,5188005.0
FIN,Finland,2002,78.3,5200598.0
FIN,Finland,2003,78.5,5213010.0
FIN,Finland,2004,79.0,5228173.0
FIN,Finland,2005,79.1,5246100.0
FIN,Finland,2006,79.5,5266266.0
FIN,Finland,2007,79.6,5288719.0
FIN,Finland,2008,79.9,5313398.0
FIN,Finland,2009,80.1,5338867.0
FIN,Finland,2010,80.2,5363341.0
FIN,Finland,2011,80.6,5388272.0
FIN,Finland,2012,80.7,5413967.0
FIN,Finland,2013,81.1,5438975.0
FIN,Finland,2014,81.3,5461507.0
FIN,Finland,2015,81.6,5479528.0
FIN,Finland,2016,81.5,5495297.0
FIN,Finland,2017,81.7,5508209.0
FIN,Finland,2018,81.8,5515525.0
FRA,France,1964,71.4,48310410.0
FRA,France,1965,71.3,48757799.0
FRA,France,1966,71.5,49163665.0
FRA,France,1967,71.5,49548302.0
FRA,France,1968,71.5,49915403.0
FRA,France,1969,71.3,50317983.0
FRA,France,1970,72.2,50772222.0
FRA,France,1971,72.1,51251098.0
FRA,France,1972,72.4,51700913.0
FRA,France,1973,72.5,52118300.0
FRA,France,1974,72.8,52460358.0
FRA,France,1975,73.0,52699171.0
FRA,France,1976,73.2,52908675.0
FRA,France,1977,73.8,53145280.0
FRA,France,1978,73.9,53376322.0
FRA,France,1979,74.2,53606226.0
FRA,France,1980,74.3,53880012.0
FRA,France,1981,74.5,54181806.0
FRA,France,1982,74.8,54492495.0
FRA,France,1983,74.8,54772418.0
FRA,France,1984,75.3,55026074.0
FRA,France,1985,75.4,55284271.0
FRA,France,1986,75.7,55546504.0
FRA,France,1987,76.3,55823956.0
FRA,France,1988,76.6,56117974.0
FRA,France,1989,76.7,56423411.0
FRA,France,1990,77.0,56708826.0
FRA,France,1991,77.2,58425681.0
FRA,France,1992,77.5,58711615.0
FRA,France,1993,77.6,58961049.0
FRA,France,1994,78.0,59175335.0
FRA,France,1995,78.1,59383991.0
FRA,France,1996,78.3,59589289.0
FRA,France,1997,78.6,59795263.0
FRA,France,1998,78.8,60011008.0
FRA,France,1999,78.9,60315406.0
FRA,France,2000,79.2,60724780.0
FRA,France,2001,79.3,61163237.0
FRA,France,2002,79.4,61604550.0
FRA,France,2003,79.3,62037544.0
FRA,France,2004,80.3,62490800.0
FRA,France,2005,80.4,62958328.0
FRA,France,2006,81.0,63393406.0
FRA,France,2007,81.2,63781275.0
FRA,France,2008,81.4,64133174.0
FRA,France,2009,81.5,64458715.0
FRA,France,2010,81.8,64773169.0
FRA,France,2011,82.3,65087317.0
FRA,France,2012,82.1,65402998.0
FRA,France,2013,82.3,65735961.0
FRA,France,2014,82.8,66276671.0
FRA,France,2015,82.4,66512558.0
FRA,France,2016,82.7,66685530.0
FRA,France,2017,82.7,66829563.0
FRA,France,2018,82.8,66941698.0
DEU,Germany,1964,70.6,75318338.0
DEU,Germany,1965,70.5,75963697.0
DEU,Germany,1966,70.6,76600311.0
DEU,Germany,1967,70.9,76951342.0
DEU,Germany,1968,70.5,77294310.0
DEU,Germany,1969,70.3,77909681.0
DEU,Germany,1970,70.6,78169285.0
DEU,Germany,1971,70.8,78312838.0
DEU,Germany,1972,71.0,78688450.0
DEU,Germany,1973,71.3,78936672.0
DEU,Germany,1974,71.5,78967429.0
DEU,Germany,1975,71.4,78673555.0
DEU,Germany,1976,71.8,78336948.0
DEU,Germany,1977,72.5,78159813.0
DEU,Germany,1978,72.4,78091821.0
DEU,Germany,1979,72.8,78126353.0
DEU,Germany,1980,72.9,78288576.0
DEU,Germany,1981,73.2,78407904.0
DEU,Germany,1982,73.5,78333354.0
DEU,Germany,1983,73.8,78128284.0
DEU,Germany,1984,74.3,77858682.0
DEU,Germany,1985,74.9,77684878.0
DEU,Germany,1986,75.1,77720438.0
DEU,Germany,1987,75.6,77839920.0
DEU,Germany,1988,75.8,78144617.0
DEU,Germany,1989,75.9,78751284.0
DEU,Germany,1990,77.2,79433034.0
DEU,Germany,1991,75.5,80013901.0
DEU,Germany,1992,76.0,80624601.0
DEU,Germany,1993,76.1,81156368.0
DEU,Germany,1994,76.4,81438346.0
DEU,Germany,1995,76.6,81678046.0
DEU,Germany,1996,76.9,81914834.0
DEU,Germany,1997,77.3,82034775.0
DEU,Germany,1998,77.7,82047197.0
DEU,Germany,1999,77.9,82100243.0
DEU,Germany,2000,78.2,82211501.0
DEU,Germany,2001,78.5,82349926.0
DEU,Germany,2002,78.5,82488493.0
DEU,Germany,2003,78.6,82534175.0
DEU,Germany,2004,79.2,82516268.0
DEU,Germany,2005,79.4,82469421.0
DEU,Germany,2006,79.8,82376447.0
DEU,Germany,2007,80.1,82266373.0
DEU,Germany,2008,80.2,82110097.0
DEU,Germany,2009,80.3,81902308.0
DEU,Germany,2010,80.5,81776936.0
DEU,Germany,2011,80.5,80274981.0
DEU,Germany,2012,80.6,80425826.0
DEU,Germany,2013,80.6,80645605.0
DEU,Germany,2014,81.2,80982495.0
DEU,Germany,2015,80.7,81686608.0
DEU,Germany,2016,81.1,82348669.0
DEU,Germany,2017,81.1,82656997.0
DEU,Germany,2018,81.0,82914191.0
GRC,Greece,1964,71.9,8510429.0
GRC,Greece,1965,72.4,8550333.0
GRC,Greece,1966,72.6,8613651.0
GRC,Greece,1967,72.3,8716441.0
GRC,Greece,1968,72.4,8740765.0
GRC,Greece,1969,73.0,8772764.0
GRC,Greece,1970,73.8,8792806.0
GRC,Greece,1971,74.2,8831036.0
GRC,Greece,1972,73.8,8888628.0
GRC,Greece,1973,74.1,8929086.0
GRC,Greece,1974,74.6,8962023.0
GRC,Greece,1975,74.5,9046542.0
GRC,Greece,1976,74.5,9167190.0
GRC,Greece,1977,74.7,9308479.0
GRC,Greece,1978,75.2,9429959.0
GRC,Greece,1979,75.5,9548258.0
GRC,Greece,1980,75.3,9642505.0
GRC,Greece,1981,75.7,9729350.0
GRC,Greece,1982,75.9,9789513.0
GRC,Greece,1983,75.7,9846627.0
GRC,Greece,1984,76.2,9895801.0
GRC,Greece,1985,76.0,9934294.0
GRC,Greece,1986,76.5,9967264.0
GRC,Greece,1987,76.3,10000644.0
GRC,Greece,1988,76.8,10037037.0
GRC,Greece,1989,77.0,10089550.0
GRC,Greece,1990,77.1,10196801.0
GRC,Greece,1991,77.3,10319928.0
GRC,Greece,1992,77.2,10399058.0
GRC,Greece,1993,77.6,10460409.0
GRC,Greece,1994,77.8,10512924.0
GRC,Greece,1995,77.8,10562160.0
GRC,Greece,1996,78.0,10608801.0
GRC,Greece,1997,78.4,10661264.0
GRC,Greece,1998,78.4,10720507.0
GRC,Greece,1999,78.5,10761698.0
GRC,Greece,2000,78.6,10805806.0
GRC,Greece,2001,79.1,10862129.0
GRC,Greece,2002,79.2,10902022.0
GRC,Greece,2003,79.3,10928072.0
GRC,Greece,2004,79.4,10955142.0
GRC,Greece,2005,79.7,10987316.0
GRC,Greece,2006,79.9,11020366.0
GRC,Greece,2007,79.7,11048466.0
GRC,Greece,2008,80.3,11077839.0
GRC,Greece,2009,80.4,11107017.0
GRC,Greece,2010,80.7,11121344.0
GRC,Greece,2011,80.8,11104900.0
GRC,Greece,2012,80.7,11045010.0
GRC,Greece,2013,81.4,10965209.0
GRC,Greece,2014,81.5,10892415.0
GRC,Greece,2015,81.1,10820883.0
GRC,Greece,2016,81.5,10775971.0
GRC,Greece,2017,81.4,10754679.0
GRC,Greece,2018,81.9,10725886.0
HUN,Hungary,1964,69.5,10119834.0
HUN,Hungary,1965,69.1,10147932.0
HUN,Hungary,1966,69.9,10178653.0
HUN,Hungary,1967,69.5,10216607.0
HUN,Hungary,1968,69.3,10255807.0
HUN,Hungary,1969,69.4,10298722.0
HUN,Hungary,1970,69.2,10337912.0
HUN,Hungary,1971,69.1,10367535.0
HUN,Hungary,1972,69.8,10398491.0
HUN,Hungary,1973,69.6,10432053.0
HUN,Hungary,1974,69.3,10478720.0
HUN,Hungary,1975,69.4,10540523.0
HUN,Hungary,1976,69.7,10598674.0
HUN,Hungary,1977,70.0,10648028.0
HUN,Hungary,1978,69.5,10684829.0
HUN,Hungary,1979,69.7,10704148.0
HUN,Hungary,1980,69.2,10711126.0
HUN,Hungary,1981,69.3,10711853.0
HUN,Hungary,1982,69.5,10705537.0
HUN,Hungary,1983,69.1,10689467.0
HUN,Hungary,1984,69.2,10668092.0
HUN,Hungary,1985,69.2,10648715.0
HUN,Hungary,1986,69.3,10630565.0
HUN,Hungary,1987,69.8,10612743.0
HUN,Hungary,1988,70.2,10596489.0
HUN,Hungary,1989,69.6,10481717.0
HUN,Hungary,1990,69.5,10373987.0
HUN,Hungary,1991,69.6,10373398.0
HUN,Hungary,1992,69.4,10369339.0
HUN,Hungary,1993,69.4,10357518.0
HUN,Hungary,1994,69.8,10343359.0
HUN,Hungary,1995,70.1,10328967.0
HUN,Hungary,1996,70.7,10311235.0
HUN,Hungary,1997,71.1,10290475.0
HUN,Hungary,1998,71.1,10266571.0
HUN,Hungary,1999,71.2,10237527.0
HUN,Hungary,2000,71.9,10210965.0
HUN,Hungary,2001,72.5,10187578.0
HUN,Hungary,2002,72.5,10158610.0
HUN,Hungary,2003,72.6,10129554.0
HUN,Hungary,2004,73.0,10107140.0
HUN,Hungary,2005,73.0,10087064.0
HUN,Hungary,2006,73.5,10071374.0
HUN,Hungary,2007,73.6,10055778.0
HUN,Hungary,2008,74.2,10038186.0
HUN,Hungary,2009,74.4,10022647.0
HUN,Hungary,2010,74.7,10000020.0
HUN,Hungary,2011,75.0,9958824.0
HUN,Hungary,2012,75.2,9920364.0
HUN,Hungary,2013,75.7,9893083.0
HUN,Hungary,2014,75.9,9866466.0
HUN,Hungary,2015,75.7,9843025.0
HUN,Hungary,2016,76.2,9814026.0
HUN,Hungary,2017,75.9,9787969.0
HUN,Hungary,2018,76.2,9767600.0
ISL,Iceland,1964,73.6,188983.0
ISL,Iceland,1965,73.9,192285.0
ISL,Iceland,1966,73.4,195568.0
ISL,Iceland,1967,73.9,198757.0
ISL,Iceland,1968,74.1,201487.0
ISL,Iceland,1969,73.8,203370.0
ISL,Iceland,1970,74.0,204438.0
ISL,Iceland,1971,73.7,206099.0
ISL,Iceland,1972,74.5,209137.0
ISL,Iceland,1973,74.6,212316.0
ISL,Iceland,1974,74.6,215206.0
ISL,Iceland,1975,75.7,217974.0
ISL,Iceland,1976,77.1,220151.0
ISL,Iceland,1977,76.5,221801.0
ISL,Iceland,1978,76.7,223537.0
,Iceland,1979,70.25750000000001,225734.0
ISL,Iceland,1980,77.0,228133.0
ISL,Iceland,1981,76.6,230757.0
ISL,Iceland,1982,77.1,233855.0
ISL,Iceland,1983,77.0,236976.0
ISL,Iceland,1984,77.7,239506.0
ISL,Iceland,1985,77.7,241409.0
ISL,Iceland,1986,78.1,243187.0
ISL,Iceland,1987,77.4,245864.0
ISL,Iceland,1988,77.2,249734.0
ISL,Iceland,1989,78.2,252851.0
ISL,Iceland,1990,78.1,254820.0
ISL,Iceland,1991,78.1,257795.0
ISL,Iceland,1992,78.8,261053.0
ISL,Iceland,1993,79.0,263730.0
ISL,Iceland,1994,79.3,266021.0
ISL,Iceland,1995,78.1,267467.0
ISL,Iceland,1996,78.9,268918.0
ISL,Iceland,1997,79.0,271130.0
ISL,Iceland,1998,79.7,274049.0
ISL,Iceland,1999,79.4,277384.0
ISL,Iceland,2000,79.7,281200.0
ISL,Iceland,2001,80.8,284970.0
ISL,Iceland,2002,80.6,287516.0
ISL,Iceland,2003,81.0,289522.0
ISL,Iceland,2004,81.1,292077.0
ISL,Iceland,2005,81.6,296734.0
ISL,Iceland,2006,81.2,303784.0
ISL,Iceland,2007,81.5,311567.0
ISL,Iceland,2008,81.7,317404.0
ISL,Iceland,2009,81.8,318501.0
ISL,Iceland,2010,82.0,318044.0
ISL,Iceland,2011,82.4,319011.0
