COU,Country,Year,Life Expectancy at Birth,Population
AUT,Austria,2007,80.3,8295189
AUT,Austria,2008,80.5,8321541
AUT,Austria,2009,80.4,8341483
AUT,Austria,2010,80.7,8361069
AUT,Austria,2011,81.1,8388534
AUT,Austria,2012,81,8426311
AUT,Austria,2013,81.2,8477230
AUT,Austria,2014,81.6,8543932
AUT,Austria,2015,81.3,8629519
AUT,Austria,2016,81.7,8739806
AUT,Austria,2017,81.7,8795073
AUT,Austria,2018,81.8,8837707
BEL,Belgium,1964,70.9,9378114
BEL,Belgium,1965,70.7,9463668
BEL,Belgium,1966,70.8,9527808
BEL,Belgium,1967,71.1,9580991
BEL,Belgium,1968,70.8,9618756
BEL,Belgium,1969,70.9,9646033
BEL,Belgium,1970,71.1,9655550
BEL,Belgium,1971,71.2,9673162
BEL,Belgium,1972,71.5,9711115
BEL,Belgium,1973,71.7,9741721
BEL,Belgium,1974,72.1,9772420
BEL,Belgium,1975,72.1,9800700
BEL,Belgium,1976,72.2,9818228
BEL,Belgium,1977,72.9,9830358
BEL,Belgium,1978,72.8,9839534
BEL,Belgium,1979,73.3,9848382
BEL,Belgium,1980,73.3,9859243
BEL,Belgium,1981,73.7,9858982
BEL,Belgium,1982,74,9856303
BEL,Belgium,1983,74,9855521
BEL,Belgium,1984,74.5,9855372
BEL,Belgium,1985,74.6,9858309
BEL,Belgium,1986,74.8,9861824
BEL,Belgium,1987,75.5,9870234
BEL,Belgium,1988,75.7,9901665
BEL,Belgium,1989,75.7,9937697
BEL,Belgium,1990,76.1,9967378
BEL,Belgium,1991,76.3,10004486
BEL,Belgium,1992,76.5,10045165
BEL,Belgium,1993,76.5,10084479
BEL,Belgium,1994,76.8,10115601
BEL,Belgium,1995,77,10136814
BEL,Belgium,1996,77.3,10156641
BEL,Belgium,1997,77.5,10181246
BEL,Belgium,1998,77.6,10203012
BEL,Belgium,1999,77.7,10226419
BEL,Belgium,2000,77.8,10251247
BEL,Belgium,2001,78.1,10286571
BEL,Belgium,2002,78.2,10332783
BEL,Belgium,2003,78.2,10376130
BEL,Belgium,2004,79,10421133
BEL,Belgium,2005,79.1,10478617
BEL,Belgium,2006,79.5,10547956
BEL,Belgium,2007,79.9,10625701
BEL,Belgium,2008,79.8,10709976
BEL,Belgium,2009,80.1,10796498
BEL,Belgium,2010,80.3,10895589
BEL,Belgium,2011,80.7,10993616
BEL,Belgium,2012,80.5,11067748
BEL,Belgium,2013,80.7,11125033
BEL,Belgium,2014,81.4,11179778
BEL,Belgium,2015,81.1,11238474
BEL,Belgium,2016,81.5,11295003
BEL,Belgium,2017,81.6,11349081
BEL,Belgium,2018,81.7,11403740
CAN,Canada,1964,72,19719595
CAN,Canada,1965,72,20084314
CAN,Canada,1966,72,20420867
CAN,Canada,1967,72,20795138
CAN,Canada,1968,72,21129417
CAN,Canada,1969,72,21439830
CAN,Canada,1970,72,21746497
CAN,Canada,1971,72.9,21962032
CAN,Canada,1972,73,22218463
CAN,Canada,1973,73,22491777
CAN,Canada,1974,73,22807969
CAN,Canada,1975,73,23143275
CAN,Canada,1976,73.9,23449808
CAN,Canada,1977,73.9,23725843
CAN,Canada,1978,73.9,23963203
CAN,Canada,1979,75.1,24201544
CAN,Canada,1980,75.3,24515667
CAN,Canada,1981,75.5,24819915
CAN,Canada,1982,75.6,25116942
CAN,Canada,1983,75.9,25366451
CAN,Canada,1984,76.2,25607053
CAN,Canada,1985,76.3,25842116
CAN,Canada,1986,76.5,26100278
CAN,Canada,1987,76.6,26446601
CAN,Canada,1988,76.8,26791747
CAN,Canada,1989,77,27276781
CAN,Canada,1990,77.2,27691138
CAN,Canada,1991,77.5,28037420
CAN,Canada,1992,77.7,28371264
CAN,Canada,1993,77.8,28684764
CAN,Canada,1994,77.9,29000663
CAN,Canada,1995,77.9,29302311
CAN,Canada,1996,78.1,29610218
CAN,Canada,1997,78.3,29905948
CAN,Canada,1998,78.5,30155173
CAN,Canada,1999,78.7,30401286
CAN,Canada,2000,79,30685730
CAN,Canada,2001,79.2,31020902
CAN,Canada,2002,79.4,31360079
CAN,Canada,2003,79.6,31644028
CAN,Canada,2004,79.8,31940655
CAN,Canada,2005,80,32243753
CAN,Canada,2006,80.3,32571174
CAN,Canada,2007,80.4,32889025
CAN,Canada,2008,80.6,33247118
CAN,Canada,2009,80.8,33628895
CAN,Canada,2010,81.1,34004889
CAN,Canada,2011,81.3,34339328
CAN,Canada,2012,81.5,34714222
CAN,Canada,2013,81.7,35082954
CAN,Canada,2014,81.8,35437435
CAN,Canada,2015,81.9,35702908
CAN,Canada,2016,82,36109487
CAN,Canada,2017,82,36540268
CAN,Canada,2018,82,37058856
CZE,Czech Republic,1964,70.7,9730019
CZE,Czech Republic,1965,70.4,9785102
CZE,Czech Republic,1966,70.6,9826188
CZE,Czech Republic,1967,70.5,9854241
CZE,Czech Republic,1968,70.1,9877632
CZE,Czech Republic,1969,69.6,9896695
CZE,Czech Republic,1970,69.6,9805157
CZE,Czech Republic,1971,69.8,9830602
CZE,Czech Republic,1972,70.3,9868379
CZE,Czech Republic,1973,70.2,9919519
CZE,Czech Republic,1974,70.2,9994761
CZE,Czech Republic,1975,70.6,10062366
CZE,Czech Republic,1976,70.7,10128220
CZE,Czech Republic,1977,70.8,10189312
CZE,Czech Republic,1978,70.9,10245686
CZE,Czech Republic,1979,70.9,10296489
CZE,Czech Republic,1980,70.5,10326792
CZE,Czech Republic,1981,70.8,10303208
CZE,Czech Republic,1982,70.9,10314321
CZE,Czech Republic,1983,70.8,10322823
CZE,Czech Republic,1984,71,10330481
CZE,Czech Republic,1985,71.2,10336742
CZE,Czech Republic,1986,71.1,10340737
CZE,Czech Republic,1987,71.6,10348834
CZE,Czech Republic,1988,71.8,10356359
CZE,Czech Republic,1989,71.9,10362257
CZE,Czech Republic,1990,71.6,10362740
CZE,Czech Republic,1991,72,10308682
CZE,Czech Republic,1992,72.5,10317807
CZE,Czech Republic,1993,72.9,10330607
CZE,Czech Republic,1994,73.2,10336162
CZE,Czech Republic,1995,73.3,10330759
CZE,Czech Republic,1996,74,10315353
CZE,Czech Republic,1997,74.1,10303642
CZE,Czech Republic,1998,74.7,10294943
CZE,Czech Republic,1999,74.9,10282784
CZE,Czech Republic,2000,75.1,10272503
CZE,Czech Republic,2001,75.3,10224192
CZE,Czech Republic,2002,75.4,10200774
CZE,Czech Republic,2003,75.3,10201651
CZE,Czech Republic,2004,75.8,10206923
CZE,Czech Republic,2005,76.1,10234092
CZE,Czech Republic,2006,76.7,10266646
CZE,Czech Republic,2007,77,10322689
CZE,Czech Republic,2008,77.3,10429692
CZE,Czech Republic,2009,77.4,10491492
CZE,Czech Republic,2010,77.7,10517247
CZE,Czech Republic,2011,78,10496672
CZE,Czech Republic,2012,78.2,10509286
CZE,Czech Republic,2013,78.3,10510719
CZE,Czech Republic,2014,78.9,10524783
CZE,Czech Republic,2015,78.7,10542942
CZE,Czech Republic,2016,79.1,10565284
CZE,Czech Republic,2017,79.1,10589526
CZE,Czech Republic,2018,79.1,10626430
DNK,Denmark,1964,72.6,4722074
DNK,Denmark,1965,72.6,4759011
DNK,Denmark,1966,72.6,4797381
DNK,Denmark,1967,72.6,4835358
DNK,Denmark,1968,73,4864879
DNK,Denmark,1969,73.2,4891860
DNK,Denmark,1970,73.3,4928748
DNK,Denmark,1971,73.3,4963126
DNK,Denmark,1972,73.4,4991596
DNK,Denmark,1973,73.6,5021862
DNK,Denmark,1974,74,5045298
DNK,Denmark,1975,74.2,5059862
DNK,Denmark,1976,73.9,5072597
DNK,Denmark,1977,74.9,5088420
DNK,Denmark,1978,74.6,5104248
DNK,Denmark,1979,74.4,5116802
DNK,Denmark,1980,74.3,5123027
DNK,Denmark,1981,74.4,5121572
DNK,Denmark,1982,74.7,5117810
DNK,Denmark,1983,74.6,5114297
DNK,Denmark,1984,74.8,5111619
DNK,Denmark,1985,74.6,5113691
DNK,Denmark,1986,74.8,5120534
DNK,Denmark,1987,74.9,5127024
DNK,Denmark,1988,75,5129517
DNK,Denmark,1989,75,5132594
DNK,Denmark,1990,74.9,5140939
DNK,Denmark,1991,75.3,5154298
DNK,Denmark,1992,75.3,5171370
DNK,Denmark,1993,75.2,5189377
DNK,Denmark,1994,75.5,5204994
DNK,Denmark,1995,75.3,5227861
DNK,Denmark,1996,75.7,5261503
DNK,Denmark,1997,76.1,5284220
DNK,Denmark,1998,76.5,5301304
DNK,Denmark,1999,76.6,5319111
DNK,Denmark,2000,76.9,5337344
DNK,Denmark,2001,77,5355082
DNK,Denmark,2002,77.1,5374255
DNK,Denmark,2003,77.4,5387174
DNK,Denmark,2004,77.8,5401177
DNK,Denmark,2005,78.3,5415978
DNK,Denmark,2006,78.4,5434567
DNK,Denmark,2007,78.4,5457415
DNK,Denmark,2008,78.8,5489022
DNK,Denmark,2009,79,5519441
DNK,Denmark,2010,79.3,5543819
DNK,Denmark,2011,79.9,5566856
DNK,Denmark,2012,80.1,5587085
DNK,Denmark,2013,80.4,5608784
DNK,Denmark,2014,80.8,5639719
DNK,Denmark,2015,80.8,5678348
DNK,Denmark,2016,80.9,5724456
DNK,Denmark,2017,81.2,5760694
DNK,Denmark,2018,81,5789957
FIN,Finland,1964,69.8,4548545
FIN,Finland,1965,69.8,4563732
FIN,Finland,1966,69.8,4580868
FIN,Finland,1967,69.8,4605743
FIN,Finland,1968,69.8,4626471
FIN,Finland,1969,69.8,4623785
FIN,Finland,1970,70.8,4606304
FIN,Finland,1971,70.1,4612124
FIN,Finland,1972,70.7,4639656
FIN,Finland,1973,71.2,4666079
FIN,Finland,1974,71.2,4690575
FIN,Finland,1975,71.7,4711440
FIN,Finland,1976,72,4725665
FIN,Finland,1977,72.4,4738900
FIN,Finland,1978,73,4752527
FIN,Finland,1979,73.2,4764691
FIN,Finland,1980,73.6,4779537
FIN,Finland,1981,73.9,4799962
FIN,Finland,1982,74.6,4826931
FIN,Finland,1983,74.4,4855786
FIN,Finland,1984,74.8,4881806
FIN,Finland,1985,74.5,4902202
FIN,Finland,1986,74.8,4918150
FIN,Finland,1987,74.8,4932123
FIN,Finland,1988,74.8,4946487
FIN,Finland,1989,75,4964370
FIN,Finland,1990,75,4986433
FIN,Finland,1991,75.5,5013737
FIN,Finland,1992,75.7,5041990
FIN,Finland,1993,75.8,5066452
FIN,Finland,1994,76.6,5088324
FIN,Finland,1995,76.6,5107787
FIN,Finland,1996,76.9,5124573
FIN,Finland,1997,77.1,5139839
FIN,Finland,1998,77.3,5153499
FIN,Finland,1999,77.5,5165470
FIN,Finland,2000,77.7,5176203
FIN,Finland,2001,78.2,5188005
FIN,Finland,2002,78.3,5200598
FIN,Finland,2003,78.5,5213010
FIN,Finland,2004,79,5228173
FIN,Finland,2005,79.1,5246100
FIN,Finland,2006,79.5,5266266
FIN,Finland,2007,79.6,5288719
FIN,Finland,2008,79.9,5313398
FIN,Finland,2009,80.1,5338867
FIN,Finland,2010,80.2,5363341
FIN,Finland,2011,80.6,5388272
FIN,Finland,2012,80.7,5413967
FIN,Finland,2013,81.1,5438975
FIN,Finland,2014,81.3,5461507
FIN,Finland,2015,81.6,5479528
FIN,Finland,2016,81.5,5495297
FIN,Finland,2017,81.7,5508209
FIN,Finland,2018,81.8,5515525
FRA,France,1964,71.4,48310410
FRA,France,1965,71.3,48757799
FRA,France,1966,71.5,49163665
FRA,France,1967,71.5,49548302
FRA,France,1968,71.5,49915403
FRA,France,1969,71.3,50317983
FRA,France,1970,72.2,50772222
FRA,France,1971,72.1,51251098
FRA,France,1972,72.4,51700913
FRA,France,1973,72.5,52118300
FRA,France,1974,72.8,52460358
FRA,France,1975,73,52699171
FRA,France,1976,73.2,52908675
FRA,France,1977,73.8,53145280
FRA,France,1978,73.9,53376322
FRA,France,1979,74.2,53606226
FRA,France,1980,74.3,53880012
FRA,France,1981,74.5,54181806
FRA,France,1982,74.8,54492495
FRA,France,1983,74.8,54772418
FRA,France,1984,75.3,55026074
FRA,France,1985,75.4,55284271
FRA,France,1986,75.7,55546504
FRA,France,1987,76.3,55823956
FRA,France,1988,76.6,56117974
FRA,France,1989,76.7,56423411
FRA,France,1990,77,56708826
FRA,France,1991,77.2,58425681
FRA,France,1992,77.5,58711615
FRA,France,1993,77.6,58961049
FRA,France,1994,78,59175335
FRA,France,1995,78.1,59383991
FRA,France,1996,78.3,59589289
FRA,France,1997,78.6,59795263
FRA,France,1998,78.8,60011008
FRA,France,1999,78.9,60315406
FRA,France,2000,79.2,60724780
FRA,France,2001,79.3,61163237
FRA,France,2002,79.4,61604550
FRA,France,2003,79.3,62037544
FRA,France,2004,80.3,62490800
FRA,France,2005,80.4,62958328
FRA,France,2006,81,63393406
FRA,France,2007,81.2,63781275
FRA,France,2008,81.4,64133174
FRA,France,2009,81.5,64458715
FRA,France,2010,81.8,64773169
FRA,France,2011,82.3,65087317
FRA,France,2012,82.1,65402998
FRA,France,2013,82.3,65735961
FRA,France,2014,82.8,66276671
FRA,France,2015,82.4,66512558
FRA,France,2016,82.7,66685530
FRA,France,2017,82.7,66829563
FRA,France,2018,82.8,66941698
DEU,Germany,1964,70.6,75318338
DEU,Germany,1965,70.5,75963697
DEU,Germany,1966,70.6,76600311
DEU,Germany,1967,70.9,76951342
DEU,Germany,1968,70.5,77294310
DEU,Germany,1969,70.3,77909681
DEU,Germany,1970,70.6,78169285
DEU,Germany,1971,70.8,78312838
DEU,Germany,1972,71,78688450
DEU,Germany,1973,71.3,78936672
DEU,Germany,1974,71.5,78967429
DEU,Germany,1975,71.4,78673555
DEU,Germany,1976,71.8,78336948
DEU,Germany,1977,72.5,78159813
DEU,Germany,1978,72.4,78091821
DEU,Germany,1979,72.8,78126353
DEU,Germany,1980,72.9,78288576
DEU,Germany,1981,73.2,78407904
DEU,Germany,1982,73.5,78333354
DEU,Germany,1983,73.8,78128284
DEU,Germany,1984,74.3,77858682
DEU,Germany,1985,74.9,77684878
DEU,Germany,1986,75.1,77720438
DEU,Germany,1987,75.6,77839920
DEU,Germany,1988,75.8,78144617
DEU,Germany,1989,75.9,78751284
DEU,Germany,1990,77.2,79433034
DEU,Germany,1991,75.5,80013901
DEU,Germany,1992,76,80624601
DEU,Germany,1993,76.1,81156368
DEU,Germany,1994,76.4,81438346
DEU,Germany,1995,76.6,81678046
DEU,Germany,1996,76.9,81914834
DEU,Germany,1997,77.3,82034775
DEU,Germany,1998,77.7,82047197
DEU,Germany,1999,77.9,82100243
DEU,Germany,2000,78.2,82211501
DEU,Germany,2001,78.5,82349926
DEU,Germany,2002,78.5,82488493
DEU,Germany,2003,78.6,82534175
DEU,Germany,2004,79.2,82516268
DEU,Germany,2005,79.4,82469421
DEU,Germany,2006,79.8,82376447
DEU,Germany,2007,80.1,82266373
DEU,Germany,2008,80.2,82110097
DEU,Germany,2009,80.3,81902308
DEU,Germany,2010,80.5,81776936
DEU,Germany,2011,80.5,80274981
DEU,Germany,2012,80.6,80425826
DEU,Germany,2013,80.6,80645605
DEU,Germany,2014,81.2,80982495
DEU,Germany,2015,80.7,81686608
DEU,Germany,2016,81.1,82348669
DEU,Germany,2017,81.1,82656997
DEU,Germany,2018,81,82914191
GRC,Greece,1964,71.9,8510429
GRC,Greece,1965,72.4,8550333
GRC,Greece,1966,72.6,8613651
GRC,Greece,1967,72.3,8716441
GRC,Greece,1968,72.4,8740765
GRC,Greece,1969,73,8772764
GRC,Greece,1970,73.8,8792806
GRC,Greece,1971,74.2,8831036
GRC,Greece,1972,73.8,8888628
GRC,Greece,1973,74.1,8929086
GRC,Greece,1974,74.6,8962023
GRC,Greece,1975,74.5,9046542
GRC,Greece,1976,74.5,9167190
GRC,Greece,1977,74.7,9308479
GRC,Greece,1978,75.2,9429959
GRC,Greece,1979,75.5,9548258
GRC,Greece,1980,75.3,9642505
GRC,Greece,1981,75.7,9729350
GRC,Greece,1982,75.9,9789513
GRC,Greece,1983,75.7,9846627
GRC,Greece,1984,76.2,9895801
GRC,Greece,1985,76,9934294
GRC,Greece,1986,76.5,9967264
GRC,Greece,1987,76.3,10000644
GRC,Greece,1988,76.8,10037037
GRC,Greece,1989,77,10089550
GRC,Greece,1990,77.1,10196801
GRC,Greece,1991,77.3,10319928
GRC,Greece,1992,77.2,10399058
GRC,Greece,1993,77.6,10460409
GRC,Greece,1994,77.8,10512924
GRC,Greece,1995,77.8,10562160
GRC,Greece,1996,78,10608801
GRC,Greece,1997,78.4,10661264
GRC,Greece,1998,78.4,10720507
GRC,Greece,1999,78.5,10761698
GRC,Greece,2000,78.6,10805806
GRC,Greece,2001,79.1,10862129
GRC,Greece,2002,79.2,10902022
GRC,Greece,2003,79.3,10928072
GRC,Greece,2004,79.4,10955142
GRC,Greece,2005,79.7,10987316
GRC,Greece,2006,79.9,11020366
GRC,Greece,2007,79.7,11048466
GRC,Greece,2008,80.3,11077839
GRC,Greece,2009,80.4,11107017
GRC,Greece,2010,80.7,11121344
GRC,Greece,2011,80.8,11104900
GRC,Greece,2012,80.7,11045010
GRC,Greece,2013,81.4,10965209
GRC,Greece,2014,81.5,10892415
GRC,Greece,2015,81.1,10820883
GRC,Greece,2016,81.5,10775971
GRC,Greece,2017,81.4,10754679
GRC,Greece,2018,81.9,10725886
HUN,Hungary,1964,69.5,10119834
HUN,Hungary,1965,69.1,10147932
HUN,Hungary,1966,69.9,10178653
HUN,Hungary,1967,69.5,10216607
HUN,Hungary,1968,69.3,10255807
HUN,Hungary,1969,69.4,10298722
HUN,Hungary,1970,69.2,10337912
HUN,Hungary,1971,69.1,10367535
HUN,Hungary,1972,69.8,10398491
HUN,Hungary,1973,69.6,10432053
HUN,Hungary,1974,69.3,10478720
HUN,Hungary,1975,69.4,10540523
HUN,Hungary,1976,69.7,10598674
HUN,Hungary,1977,70,10648028
HUN,Hungary,1978,69.5,10684829
HUN,Hungary,1979,69.7,10704148
HUN,Hungary,1980,69.2,10711126
HUN,Hungary,1981,69.3,10711853
HUN,Hungary,1982,69.5,10705537
HUN,Hungary,1983,69.1,10689467
HUN,Hungary,1984,69.2,10668092
HUN,Hungary,1985,69.2,10648715
HUN,Hungary,1986,69.3,10630565
HUN,Hungary,1987,69.8,10612743
HUN,Hungary,1988,70.2,10596489
HUN,Hungary,1989,69.6,10481717
HUN,Hungary,1990,69.5,10373987
HUN,Hungary,1991,69.6,10373398
HUN,Hungary,1992,69.4,10369339
HUN,Hungary,1993,69.4,10357518
HUN,Hungary,1994,69.8,10343359
HUN,Hungary,1995,70.1,10328967
HUN,Hungary,1996,70.7,10311235
HUN,Hungary,1997,71.1,10290475
HUN,Hungary,1998,71.1,10266571
HUN,Hungary,1999,71.2,10237527
HUN,Hungary,2000,71.9,10210965
HUN,Hungary,2001,72.5,10187578
HUN,Hungary,2002,72.5,10158610
HUN,Hungary,2003,72.6,10129554
HUN,Hungary,2004,73,10107140
HUN,Hungary,2005,73,10087064
HUN,Hungary,2006,73.5,10071374
HUN,Hungary,2007,73.6,10055778
HUN,Hungary,2008,74.2,10038186
HUN,Hungary,2009,74.4,10022647
HUN,Hungary,2010,74.7,10000020
HUN,Hungary,2011,75,9958824
HUN,Hungary,2012,75.2,9920364
HUN,Hungary,2013,75.7,9893083
HUN,Hungary,2014,75.9,9866466
HUN,Hungary,2015,75.7,9843025
HUN,Hungary,2016,76.2,9814026
HUN,Hungary,2017,75.9,9787969
HUN,Hungary,2018,76.2,9767600
ISL,Iceland,1964,73.6,188983
ISL,Iceland,1965,73.9,192285
ISL,Iceland,1966,73.4,195568
ISL,Iceland,1967,73.9,198757
ISL,Iceland,1968,74.1,201487
ISL,Iceland,1969,73.8,203370
ISL,Iceland,1970,74,204438
ISL,Iceland,1971,73.7,206099
ISL,Iceland,1972,74.5,209137
ISL,Iceland,1973,74.6,212316
ISL,Iceland,1974,74.6,215206
ISL,Iceland,1975,75.7,217974
ISL,Iceland,1976,77.1,220151
ISL,Iceland,1977,76.5,221801
ISL,Iceland,1978,76.7,223537
ISL,Iceland,1979,76.7,225734
ISL,Iceland,1980,77,228133
ISL,Iceland,1981,76.6,230757
ISL,Iceland,1982,77.1,233855
ISL,Iceland,1983,77,236976
ISL,Iceland,1984,77.7,239506
ISL,Iceland,1985,77.7,241409
ISL,Iceland,1986,78.1,243187
ISL,Iceland,1987,77.4,245864
ISL,Iceland,1988,77.2,249734
ISL,Iceland,1989,78.2,252851
ISL,Iceland,1990,78.1,254820
ISL,Iceland,1991,78.1,257795
ISL,Iceland,1992,78.8,261053
ISL,Iceland,1993,79,263730
ISL,Iceland,1994,79.3,266021
ISL,Iceland,1995,78.1,267467
ISL,Iceland,1996,78.9,268918
ISL,Iceland,1997,79,271130
ISL,Iceland,1998,79.7,274049
ISL,Iceland,1999,79.4,277384
ISL,Iceland,2000,79.7,281200
ISL,Iceland,2001,80.8,284970
ISL,Iceland,2002,80.6,287516
ISL,Iceland,2003,81,289522
ISL,Iceland,2004,81.1,292077
ISL,Iceland,2005,81.6,296734
ISL,Iceland,2006,81.2,303784
ISL,Iceland,2007,81.5,311567
ISL,Iceland,2008,81.7,317404
ISL,Iceland,2009,81.8,318501
ISL,Iceland,2010,82,318044
ISL,Iceland,2011,82.4,319011
ISL,Iceland,2012,83,320723
ISL,Iceland,2013,82.1,323763
ISL,Iceland,2014,82.9,327379
ISL,Iceland,2015,82.5,330818
ISL,Iceland,2016,82.3,335435
ISL,Iceland,2017,82.7,343399
ISL,Iceland,2018,82.9,352722
IRL,Ireland,1964,71,2863800
IRL,Ireland,1965,71,2875800
IRL,Ireland,1966,71,2884000
IRL,Ireland,1967,71,2899700
IRL,Ireland,1968,71,2912200
IRL,Ireland,1969,71,2925200
IRL,Ireland,1970,71.2,2949900
IRL,Ireland,1971,71.2,2978200
IRL,Ireland,1972,71.2,3024400
IRL,Ireland,1973,71.2,3073000
IRL,Ireland,1974,71.2,3123900
IRL,Ireland,1975,71.2,3177200
IRL,Ireland,1976,71.2,3227800
IRL,Ireland,1977,71.2,3271900
IRL,Ireland,1978,71.5,3314000
IRL,Ireland,1979,72.3,3368200
IRL,Ireland,1980,72.9,3401000
IRL,Ireland,1981,72.9,3443400
IRL,Ireland,1982,72.9,3480000
IRL,Ireland,1983,73,3504000
IRL,Ireland,1984,73,3529000
IRL,Ireland,1985,73.4,3540000
IRL,Ireland,1986,73.6,3540600
IRL,Ireland,1987,74.5,3546500
IRL,Ireland,1988,74.5,3530700
IRL,Ireland,1989,74.5,3509500
IRL,Ireland,1990,74.9,3505800
IRL,Ireland,1991,75.1,3525700
IRL,Ireland,1992,75.5,3554500
IRL,Ireland,1993,75.3,3574100
IRL,Ireland,1994,75.9,3585900
IRL,Ireland,1995,75.6,3601300
IRL,Ireland,1996,75.9,3626087
IRL,Ireland,1997,76.1,3664313
IRL,Ireland,1998,76.3,3703082
IRL,Ireland,1999,76.2,3741647
IRL,Ireland,2000,76.6,3789536
IRL,Ireland,2001,77.2,3847198
IRL,Ireland,2002,77.7,3917203
IRL,Ireland,2003,78.2,3979853
IRL,Ireland,2004,78.6,4045188
IRL,Ireland,2005,79,4133839
IRL,Ireland,2006,79.3,4232929
IRL,Ireland,2007,79.7,4375842
IRL,Ireland,2008,80.2,4485070
IRL,Ireland,2009,80.3,4533395
IRL,Ireland,2010,80.8,4554763
IRL,Ireland,2011,80.8,4574888
IRL,Ireland,2012,80.9,4593697
IRL,Ireland,2013,81,4614669
IRL,Ireland,2014,81.4,4645440
IRL,Ireland,2015,81.5,4687787
IRL,Ireland,2016,81.7,4739597
IRL,Ireland,2017,82.2,4792490
IRL,Ireland,2018,82.3,4857015
ITA,Italy,1964,71,51675294
ITA,Italy,1965,71,52112336
ITA,Italy,1966,71,52518925
ITA,Italy,1967,71,52900443
ITA,Italy,1968,71,53235691
ITA,Italy,1969,72,53537796
ITA,Italy,1970,72,53821798
ITA,Italy,1971,72,54073525
ITA,Italy,1972,72,54381345
ITA,Italy,1973,72,54751405
ITA,Italy,1974,72.6,55110870
ITA,Italy,1975,72.7,55440999
ITA,Italy,1976,72.8,55718266
ITA,Italy,1977,73.4,55955407
ITA,Italy,1978,73.8,56155142
