"VAR","Variable","UNIT","Measure","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"EVIEFE65","Females at age 65","EVIDUREV","Years","AUS","Australia","1970","1970",15.6,,
"EVIEFE65","Females at age 65","EVIDUREV","Years","AUS","Australia","1971","1971",16.1,,
"EVIEFE65","Females at age 65","EVIDUREV","Years","AUS","Australia","1972","1972",16.4,,
"EVIEFE65","Females at age 65","EVIDUREV","Years","AUS","Australia","1973","1973",16.6,,
"EVIEFE65","Females at age 65","EVIDUREV","Years","AUS","Australia","1974","1974",16.5,,
"EVIEFE65","Females at age 65","EVIDUREV","Years","AUS","Australia","1975","1975",17,,
"EVIEFE65","Females at age 65","EVIDUREV","Years","AUS","Australia","1976","1976",17,,
"EVIEFE65","Females at age 65","EVIDUREV","Years","AUS","Australia","1977","1977",17.4,,
"EVIEFE65","Females at age 65","EVIDUREV","Years","AUS","Australia","1978","1978",17.5,,
"EVIEFE65","Females at age 65","EVIDUREV","Years","AUS","Australia","1979","1979",17.8,,
"EVIEFE65","Females at age 65","EVIDUREV","Years","AUS","Australia","1980","1980",17.9,,
"EVIEFE65","Females at age 65","EVIDUREV","Years","AUS","Australia","1981","1981",18.1,,
"EVIEFE65","Females at age 65","EVIDUREV","Years","AUS","Australia","1982","1982",17.9,,
"EVIEFE65","Females at age 65","EVIDUREV","Years","AUS","Australia","1983","1983",18.3,,
"EVIEFE65","Females at age 65","EVIDUREV","Years","AUS","Australia","1984","1984",18.4,,
"EVIEFE65","Females at age 65","EVIDUREV","Years","AUS","Australia","1985","1985",18.2,,
"EVIEFE65","Females at age 65","EVIDUREV","Years","AUS","Australia","1986","1986",18.5,,
"EVIEFE65","Females at age 65","EVIDUREV","Years","AUS","Australia","1987","1987",18.6,,
"EVIEFE65","Females at age 65","EVIDUREV","Years","AUS","Australia","1988","1988",18.7,,
"EVIEFE65","Females at age 65","EVIDUREV","Years","AUS","Australia","1989","1989",18.7,,
"EVIEFE65","Females at age 65","EVIDUREV","Years","AUS","Australia","1990","1990",19,,
"EVIEFE65","Females at age 65","EVIDUREV","Years","AUS","Australia","1991","1991",19.1,,
"EVIEFE65","Females at age 65","EVIDUREV","Years","AUS","Australia","1992","1992",19.2,,
"EVIEFE65","Females at age 65","EVIDUREV","Years","AUS","Australia","1993","1993",19.5,,
"EVIEFE65","Females at age 65","EVIDUREV","Years","AUS","Australia","1994","1994",19.4,,
"EVIEFE65","Females at age 65","EVIDUREV","Years","AUS","Australia","1995","1995",19.5,,
"EVIEFE65","Females at age 65","EVIDUREV","Years","AUS","Australia","1996","1996",19.6,,
"EVIEFE65","Females at age 65","EVIDUREV","Years","AUS","Australia","1997","1997",19.8,,
"EVIEFE65","Females at age 65","EVIDUREV","Years","AUS","Australia","1998","1998",20,,
"EVIEFE65","Females at age 65","EVIDUREV","Years","AUS","Australia","1999","1999",20.2,,
"EVIEFE65","Females at age 65","EVIDUREV","Years","AUS","Australia","2000","2000",20.4,,
"EVIEFE65","Females at age 65","EVIDUREV","Years","AUS","Australia","2001","2001",20.7,,
"EVIEFE65","Females at age 65","EVIDUREV","Years","AUS","Australia","2002","2002",20.8,,
"EVIEFE65","Females at age 65","EVIDUREV","Years","AUS","Australia","2003","2003",21,,
"EVIEFE65","Females at age 65","EVIDUREV","Years","AUS","Australia","2004","2004",21.1,,
"EVIEFE65","Females at age 65","EVIDUREV","Years","AUS","Australia","2005","2005",21.4,,
"EVIEFE65","Females at age 65","EVIDUREV","Years","AUS","Australia","2006","2006",21.5,,
"EVIEFE65","Females at age 65","EVIDUREV","Years","AUS","Australia","2007","2007",21.6,,
"EVIEFE65","Females at age 65","EVIDUREV","Years","AUS","Australia","2008","2008",21.6,,
"EVIEFE65","Females at age 65","EVIDUREV","Years","AUS","Australia","2009","2009",21.8,,
"EVIEFE65","Females at age 65","EVIDUREV","Years","AUS","Australia","2010","2010",21.8,,
"EVIEFE65","Females at age 65","EVIDUREV","Years","AUS","Australia","2011","2011",22,,
"EVIEFE65","Females at age 65","EVIDUREV","Years","AUS","Australia","2012","2012",22,,
"EVIEFE65","Females at age 65","EVIDUREV","Years","AUS","Australia","2013","2013",22.1,,
"EVIEFE65","Females at age 65","EVIDUREV","Years","AUS","Australia","2014","2014",22.2,,
"EVIEFE65","Females at age 65","EVIDUREV","Years","AUS","Australia","2015","2015",22.3,,
"EVIEFE65","Females at age 65","EVIDUREV","Years","AUS","Australia","2016","2016",22.3,,
"EVIEFE65","Females at age 65","EVIDUREV","Years","AUS","Australia","2017","2017",22.3,,
"EVIEFE65","Females at age 65","EVIDUREV","Years","AUS","Australia","2018","2018",22.6,,
"EVIEFE65","Females at age 65","EVIDUREV","Years","AUS","Australia","2019","2019",22.7,,
"EVIEFE80","Females at age 80","EVIDUREV","Years","AUS","Australia","1964","1964",6.6,,
"EVIEFE80","Females at age 80","EVIDUREV","Years","AUS","Australia","1965","1965",6.6,,
"EVIEFE80","Females at age 80","EVIDUREV","Years","AUS","Australia","1966","1966",6.5,,
"EVIEFE80","Females at age 80","EVIDUREV","Years","AUS","Australia","1967","1967",6.9,,
"EVIEFE80","Females at age 80","EVIDUREV","Years","AUS","Australia","1968","1968",6.6,,
"EVIEFE80","Females at age 80","EVIDUREV","Years","AUS","Australia","1969","1969",6.9,,
"EVIEFE80","Females at age 80","EVIDUREV","Years","AUS","Australia","1970","1970",6.8,,
"EVIEFE80","Females at age 80","EVIDUREV","Years","AUS","Australia","1971","1971",7.1,,
"EVIEFE80","Females at age 80","EVIDUREV","Years","AUS","Australia","1972","1972",7.2,,
"EVIEFE80","Females at age 80","EVIDUREV","Years","AUS","Australia","1973","1973",7.1,,
"EVIEFE80","Females at age 80","EVIDUREV","Years","AUS","Australia","1974","1974",7,,
"EVIEFE80","Females at age 80","EVIDUREV","Years","AUS","Australia","1975","1975",7.4,,
"EVIEFE80","Females at age 80","EVIDUREV","Years","AUS","Australia","1976","1976",7.3,,
"EVIEFE80","Females at age 80","EVIDUREV","Years","AUS","Australia","1977","1977",7.5,,
"EVIEFE80","Females at age 80","EVIDUREV","Years","AUS","Australia","1978","1978",7.6,,
"EVIEFE80","Females at age 80","EVIDUREV","Years","AUS","Australia","1979","1979",7.8,,
"EVIEFE80","Females at age 80","EVIDUREV","Years","AUS","Australia","1980","1980",7.9,,
"EVIEFE80","Females at age 80","EVIDUREV","Years","AUS","Australia","1981","1981",8.1,,
"EVIEFE80","Females at age 80","EVIDUREV","Years","AUS","Australia","1982","1982",7.9,,
"EVIEFE80","Females at age 80","EVIDUREV","Years","AUS","Australia","1983","1983",8.3,,
"EVIEFE80","Females at age 80","EVIDUREV","Years","AUS","Australia","1984","1984",8.3,,
"EVIEFE80","Females at age 80","EVIDUREV","Years","AUS","Australia","1985","1985",8.1,,
"EVIEFE80","Females at age 80","EVIDUREV","Years","AUS","Australia","1986","1986",8.4,,
"EVIEFE80","Females at age 80","EVIDUREV","Years","AUS","Australia","1987","1987",8.5,,
"EVIEFE80","Females at age 80","EVIDUREV","Years","AUS","Australia","1988","1988",8.5,,
"EVIEFE80","Females at age 80","EVIDUREV","Years","AUS","Australia","1989","1989",8.5,,
"EVIEFE80","Females at age 80","EVIDUREV","Years","AUS","Australia","1990","1990",8.7,,
"EVIEFE80","Females at age 80","EVIDUREV","Years","AUS","Australia","1991","1991",8.8,,
"EVIEFE80","Females at age 80","EVIDUREV","Years","AUS","Australia","1992","1992",8.7,,
"EVIEFE80","Females at age 80","EVIDUREV","Years","AUS","Australia","1993","1993",8.9,,
"EVIEFE80","Females at age 80","EVIDUREV","Years","AUS","Australia","1994","1994",8.8,,
"EVIEFE80","Females at age 80","EVIDUREV","Years","AUS","Australia","1995","1995",8.9,,
"EVIEFE80","Females at age 80","EVIDUREV","Years","AUS","Australia","1996","1996",8.9,,
"EVIEFE80","Females at age 80","EVIDUREV","Years","AUS","Australia","1997","1997",9,,
"EVIEFE80","Females at age 80","EVIDUREV","Years","AUS","Australia","1998","1998",9.1,,
"EVIEFE80","Females at age 80","EVIDUREV","Years","AUS","Australia","1999","1999",9.3,,
"EVIEFE80","Females at age 80","EVIDUREV","Years","AUS","Australia","2000","2000",9.4,,
"EVIEFE80","Females at age 80","EVIDUREV","Years","AUS","Australia","2001","2001",9.5,,
"EVIEFE80","Females at age 80","EVIDUREV","Years","AUS","Australia","2002","2002",9.6,,
"EVIEFE80","Females at age 80","EVIDUREV","Years","AUS","Australia","2003","2003",9.7,,
"EVIEFE80","Females at age 80","EVIDUREV","Years","AUS","Australia","2004","2004",9.8,,
"EVIEFE80","Females at age 80","EVIDUREV","Years","AUS","Australia","2005","2005",9.9,,
"EVIEFE80","Females at age 80","EVIDUREV","Years","AUS","Australia","2006","2006",9.9,,
"EVIEFE80","Females at age 80","EVIDUREV","Years","AUS","Australia","2007","2007",10,,
"EVIEFE80","Females at age 80","EVIDUREV","Years","AUS","Australia","2008","2008",10,,
"EVIEFE80","Females at age 80","EVIDUREV","Years","AUS","Australia","2009","2009",10,,
"EVIEFE80","Females at age 80","EVIDUREV","Years","AUS","Australia","2010","2010",10.1,,
"EVIEFE80","Females at age 80","EVIDUREV","Years","AUS","Australia","2011","2011",10.2,,
"EVIEFE80","Females at age 80","EVIDUREV","Years","AUS","Australia","2012","2012",10.2,,
"EVIEFE80","Females at age 80","EVIDUREV","Years","AUS","Australia","2013","2013",10.2,,
"EVIEFE80","Females at age 80","EVIDUREV","Years","AUS","Australia","2014","2014",10.3,,
"EVIEFE80","Females at age 80","EVIDUREV","Years","AUS","Australia","2015","2015",10.4,,
"EVIEFE80","Females at age 80","EVIDUREV","Years","AUS","Australia","2016","2016",10.4,,
"EVIEFE80","Females at age 80","EVIDUREV","Years","AUS","Australia","2017","2017",10.4,,
"EVIEFE80","Females at age 80","EVIDUREV","Years","AUS","Australia","2018","2018",10.6,,
"EVIEFE80","Females at age 80","EVIDUREV","Years","AUS","Australia","2019","2019",10.7,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUS","Australia","1964","1964",67.5,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUS","Australia","1965","1965",67.7,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUS","Australia","1966","1966",67.6,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUS","Australia","1967","1967",67.8,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUS","Australia","1968","1968",67.5,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUS","Australia","1969","1969",67.5,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUS","Australia","1970","1970",67.4,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUS","Australia","1971","1971",68.3,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUS","Australia","1972","1972",68.6,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUS","Australia","1973","1973",68.6,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUS","Australia","1974","1974",68.4,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUS","Australia","1975","1975",69.2,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUS","Australia","1976","1976",69.3,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUS","Australia","1977","1977",69.9,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUS","Australia","1978","1978",70.2,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUS","Australia","1979","1979",70.8,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUS","Australia","1980","1980",71,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUS","Australia","1981","1981",71.4,,
