Event,Gold,Gold.1,Silver,Silver.1,Bronze,Bronze.1,Year,Discipline,Male/Female/Mixed,Status,Date,Participants,NOCs
"Individual, Open",Federico Roman,ITA,Aleksandr Blinov,URS,Yury Salnikov,URS,1980,Equestrian Eventing,,,,,
"Team, Open",Soviet Union,URS,Italy,ITA,Mexico,MEX,1980,Equestrian Eventing,,,,,
"Individual, Open",Jan Kowalczyk,POL,Nikolay Korolkov,URS,JoaquÃ­n PÃ©rez,MEX,1980,Equestrian Jumping,,,,,
"Team, Open",Soviet Union,URS,Poland,POL,Mexico,MEX,1980,Equestrian Jumping,,,,,
"Foil, Individual, Men",Vladimir Smirnov,URS,Pascal Jolyot,FRA,Aleksandr Romankov,URS,1980,Fencing,,,,,
"Foil, Team, Men",France,FRA,Soviet Union,URS,Poland,POL,1980,Fencing,,,,,
"ÃpÃ©e, Individual, Men",Johan Harmenberg,SWE,ErnÅ Kolczonay,HUN,Philippe Riboud,FRA,1980,Fencing,,,,,
"ÃpÃ©e, Team, Men",France,FRA,Poland,POL,Soviet Union,URS,1980,Fencing,,,,,
"Sabre, Individual, Men",Viktor Krovopuskov,URS,Mikhail Burtsev,URS,Imre GedÅvÃ¡ri,HUN,1980,Fencing,,,,,
"Sabre, Team, Men",Soviet Union,URS,Italy,ITA,Hungary,HUN,1980,Fencing,,,,,
"Foil, Individual, Women",Pascale Trinquet,FRA,Magda Maros,HUN,Barbara WysoczaÅska,POL,1980,Fencing,,,,,
"Foil, Team, Women",France,FRA,Soviet Union,URS,Hungary,HUN,1980,Fencing,,,,,
"Football, Men",Czechoslovakia,TCH,East Germany,GDR,Soviet Union,URS,1980,Football,,,,,
"Handball, Men",East Germany,GDR,Soviet Union,URS,Romania,ROU,1980,Handball,,,,,
"Handball, Women",Soviet Union,URS,Yugoslavia,YUG,East Germany,GDR,1980,Handball,,,,,
"Hockey, Men",India,IND,Spain,ESP,Soviet Union,URS,1980,Hockey,,,,,
"Hockey, Women",Zimbabwe,ZIM,Czechoslovakia,TCH,Soviet Union,URS,1980,Hockey,,,,,
"Extra-Lightweight, Men",Thierry Rey,FRA,JosÃ© RodrÃ­guez,CUB,Tibor KincsesAramby Yemizh,HUNURS,1980,Judo,,,,,
"Half-Lightweight, Men",Nikolay Solodukhin,URS,Tsendiin Damdin,MGL,Iliyan NedkovJanusz PawÅowski,BULPOL,1980,Judo,,,,,
"Lightweight, Men",Ezio Gamba,ITA,Neil Adams,GBR,Karl-Heinz LehmannRavdangiin Davaadalai,GDRMGL,1980,Judo,,,,,
"Half-Middleweight, Men",Shota Khabareli,URS,Juan Ferrer,CUB,Bernard TchoullouyanHarald Heinke,FRAGDR,1980,Judo,,,,,
"Middleweight, Men",JÃ¼rg RÃ¶thlisberger,SUI,Isaac Azcuy,CUB,Aleksandrs JackÄviÄsDetlef Ultsch,URSGDR,1980,Judo,,,,,
"Half-Heavyweight, Men",Robert Van de Walle,BEL,Tengiz Khubuluri,URS,Dietmar LorenzHenk Numan,GDRNED,1980,Judo,,,,,
"Heavyweight, Men",Angelo Parisi,FRA,Dimitar Zapryanov,BUL,VladimÃ­r KocmanRadomir KovaÄeviÄ,TCHYUG,1980,Judo,,,,,
"Open Class, Men",Dietmar Lorenz,GDR,Angelo Parisi,FRA,Arthur MappAndrÃ¡s OzsvÃ¡r,GBRHUN,1980,Judo,,,,,
"Individual, Men",Anatoly Starostin,URS,TamÃ¡s Szombathelyi,HUN,Pavel Lednyov,URS,1980,Modern Pentathlon,,,,,
"Team, Men",Soviet Union,URS,Hungary,HUN,Sweden,SWE,1980,Modern Pentathlon,,,,,
"Single Sculls, Men",Pertti Karppinen,FIN,Vasily Yakusha,URS,Peter Kersten,GDR,1980,Rowing,,,,,
"Double Sculls, Men",East Germany,GDR,Yugoslavia,YUG,Czechoslovakia,TCH,1980,Rowing,,,,,
"Quadruple Sculls, Men",East Germany,GDR,Soviet Union,URS,Bulgaria,BUL,1980,Rowing,,,,,
"Coxless Pairs, Men",East Germany,GDR,Soviet Union,URS,Great Britain,GBR,1980,Rowing,,,,,
"Coxed Pairs, Men",East Germany,GDR,Soviet Union,URS,Yugoslavia,YUG,1980,Rowing,,,,,
"Coxless Fours, Men",East Germany,GDR,Soviet Union,URS,Great Britain,GBR,1980,Rowing,,,,,
"Coxed Fours, Men",East Germany,GDR,Soviet Union,URS,Poland,POL,1980,Rowing,,,,,
"Eights, Men",East Germany,GDR,Great Britain,GBR,Soviet Union,URS,1980,Rowing,,,,,
"Single Sculls, Women",Sanda Toma,ROU,Antonina Makhina,URS,Martina SchrÃ¶ter,GDR,1980,Rowing,,,,,
"Double Sculls, Women",Soviet Union,URS,East Germany,GDR,Romania,ROU,1980,Rowing,,,,,
"Coxless Pairs, Women",East Germany,GDR,Poland,POL,Bulgaria,BUL,1980,Rowing,,,,,
"Coxed Fours, Women",East Germany,GDR,Bulgaria,BUL,Soviet Union,URS,1980,Rowing,,,,,
"Coxed Quadruple Sculls, Women",East Germany,GDR,Soviet Union,URS,Bulgaria,BUL,1980,Rowing,,,,,
"Eights, Women",East Germany,GDR,Soviet Union,URS,Romania,ROU,1980,Rowing,,,,,
"One Person Dinghy, Open",Esko Rechardt,FIN,Wolfgang Mayrhofer,AUT,Andrey Balashov,URS,1980,Sailing,,,,,
"Two Person Dinghy, Open",Brazil,BRA,East Germany,GDR,Finland,FIN,1980,Sailing,,,,,
"Two Person Keelboat, Open",Soviet Union,URS,Austria,AUT,Italy,ITA,1980,Sailing,,,,,
"Multihull, Open",Brazil,BRA,Denmark,DEN,Sweden,SWE,1980,Sailing,,,,,
"Three Person Keelboat, Open",Denmark,DEN,Soviet Union,URS,Greece,GRE,1980,Sailing,,,,,
"Two Person Heavyweight Dinghy, Open",Spain,ESP,Ireland,IRL,Hungary,HUN,1980,Sailing,,,,,
"Rapid-Fire Pistol, 25 metres, Open",Corneliu Ion,ROU,JÃ¼rgen Wiefel,GDR,Gerhard Petritsch,AUT,1980,Shooting,,,,,
"Free Pistol, 50 metres, Open",Aleksandr Melentyev,URS,Harald Vollmar,GDR,Lyubcho Dyakov,BUL,1980,Shooting,,,,,
"Small-Bore Rifle, Three Positions, 50 metres, Open",Viktor Vlasov,URS,Bernd Hartstein,GDR,Sven Johansson,SWE,1980,Shooting,,,,,
"Small-Bore Rifle, Prone, 50 metres, Open",KÃ¡roly Varga,HUN,Hellfried Heilfort,GDR,Petar Zapryanov,BUL,1980,Shooting,,,,,
"Running Target, 50 metres, Open",Igor Sokolov,URS,Thomas Pfeffer,GDR,Aleksandr Gazov,URS,1980,Shooting,,,,,
"Trap, Open",Luciano Giovannetti,ITA,Rustam Yambulatov,URS,JÃ¶rg Damme,GDR,1980,Shooting,,,,,
"Skeet, Open",Kjeld Rasmussen,DEN,Lars-GÃ¶ran Carlsson,SWE,Roberto Castrillo,CUB,1980,Shooting,,,,,
"100 metres Freestyle, Men",JÃ¶rg Woithe,GDR,Per Holmertz,SWE,Per Johansson,SWE,1980,Swimming,,,,,
"200 metres Freestyle, Men",Sergey Koplyakov,URS,Andrey Krylov,URS,Graeme Brewer,AUS,1980,Swimming,,,,,
"400 metres Freestyle, Men",Vladimir Salnikov,URS,Andrey Krylov,URS,Ivar Stukolkin,URS,1980,Swimming,,,,,
"1,500 metres Freestyle, Men",Vladimir Salnikov,URS,Aleksandr Chayev,URS,Max Metzker,AUS,1980,Swimming,,,,,
"4 Ã 200 metres Freestyle Relay, Men",Soviet Union,URS,East Germany,GDR,Brazil,BRA,1980,Swimming,,,,,
"100 metres Backstroke, Men",Bengt Baron,SWE,Viktor Kuznetsov,URS,Vladimir Dolgov,URS,1980,Swimming,,,,,
"200 metres Backstroke, Men",SÃ¡ndor WladÃ¡r,HUN,ZoltÃ¡n VerrasztÃ³,HUN,Mark Kerry,AUS,1980,Swimming,,,,,
"100 metres Breaststroke, Men",Duncan Goodhew,GBR,Arsens Miskarovs,URS,Peter Evans,AUS,1980,Swimming,,,,,
"200 metres Breaststroke, Men",Robertas Å½ulpa,URS,AlbÃ¡n Vermes,HUN,Arsens Miskarovs,URS,1980,Swimming,,,,,
"100 metres Butterfly, Men",PÃ¤r Arvidsson,SWE,Roger Pyttel,GDR,David LÃ³pez-Zubero,ESP,1980,Swimming,,,,,
"200 metres Butterfly, Men",Sergey Fesenko,URS,Philip Hubble,GBR,Roger Pyttel,GDR,1980,Swimming,,,,,
"400 metres Individual Medley, Men",Aleksandr Sidorenko,URS,Sergey Fesenko,URS,ZoltÃ¡n VerrasztÃ³,HUN,1980,Swimming,,,,,
"4 Ã 100 metres Medley Relay, Men",Australia,AUS,Soviet Union,URS,Great Britain,GBR,1980,Swimming,,,,,
"100 metres Freestyle, Women",Barbara Krause,GDR,Caren Metschuck,GDR,Ines Diers,GDR,1980,Swimming,,,,,
"200 metres Freestyle, Women",Barbara Krause,GDR,Ines Diers,GDR,Carmela Schmidt,GDR,1980,Swimming,,,,,
"400 metres Freestyle, Women",Ines Diers,GDR,Petra Schneider,GDR,Carmela Schmidt,GDR,1980,Swimming,,,,,
"800 metres Freestyle, Women",Michelle Ford,AUS,Ines Diers,GDR,Heike DÃ¤hne,GDR,1980,Swimming,,,,,
"4 Ã 100 metres Freestyle Relay, Women",East Germany,GDR,Sweden,SWE,Netherlands,NED,1980,Swimming,,,,,
"100 metres Backstroke, Women",Rica Reinisch,GDR,Ina Kleber,GDR,Petra Riedel,GDR,1980,Swimming,,,,,
"200 metres Backstroke, Women",Rica Reinisch,GDR,Cornelia Polit,GDR,Birgit Treiber,GDR,1980,Swimming,,,,,
"100 metres Breaststroke, Women",Ute Geweniger,GDR,Elvira Vasilkova,URS,Susanne Nielsson,DEN,1980,Swimming,,,,,
"200 metres Breaststroke, Women",Lina KaÄiuÅ¡ytÄ,URS,Svetlana Varganova,URS,Yuliya Bogdanova,URS,1980,Swimming,,,,,
"100 metres Butterfly, Women",Caren Metschuck,GDR,Andrea Pollack,GDR,Christiane Knacke,GDR,1980,Swimming,,,,,
"200 metres Butterfly, Women",Ines GeiÃler,GDR,Sybille SchÃ¶nrock,GDR,Michelle Ford,AUS,1980,Swimming,,,,,
"400 metres Individual Medley, Women",Petra Schneider,GDR,Sharron Davies,GBR,Agnieszka Czopek,POL,1980,Swimming,,,,,
"4 Ã 100 metres Medley Relay, Women",East Germany,GDR,Great Britain,GBR,Soviet Union,URS,1980,Swimming,,,,,
"Volleyball, Men",Soviet Union,URS,Bulgaria,BUL,Romania,ROU,1980,Volleyball,,,,,
"Volleyball, Women",Soviet Union,URS,East Germany,GDR,Bulgaria,BUL,1980,Volleyball,,,,,
"Water Polo, Men",Soviet Union,URS,Yugoslavia,YUG,Hungary,HUN,1980,Water Polo,,,,,
"Flyweight, Men",Kanybek Osmonaliyev,URS,Ho Bong-Chol,PRK,Han Gyong-Si,PRK,1980,Weightlifting,,,,,
"Bantamweight, Men",Daniel NÃºÃ±ez,CUB,Yurik Sarkisyan,URS,Tadeusz DemboÅczyk,POL,1980,Weightlifting,,,,,
"Featherweight, Men",Viktor Mazin,URS,Stefan Dimitrov,BUL,Marek Seweryn,POL,1980,Weightlifting,,,,,
"Lightweight, Men",Yanko Rusev,BUL,Joachim Kunz,GDR,Mincho Pashov,BUL,1980,Weightlifting,,,,,
"Middleweight, Men",Asen Zlatev,BUL,Aleksandr Pervy,URS,Nedelcho Kolev,BUL,1980,Weightlifting,,,,,
"Light-Heavyweight, Men",Yuri Vardanyan,URS,Blagoy Blagoev,BUL,DuÅ¡an PoliaÄik,TCH,1980,Weightlifting,,,,,
"Middle-Heavyweight, Men",PÃ©ter BaczakÃ³,HUN,Rumen Aleksandrov,BUL,Frank Mantek,GDR,1980,Weightlifting,,,,,
"Heavyweight I, Men",Ota Zaremba,TCH,Igor Nikitin,URS,Alberto Blanco,CUB,1980,Weightlifting,,,,,
"Heavyweight II, Men",Leonid Taranenko,URS,Valentin Khristov,BUL,GyÃ¶rgy Szalai,HUN,1980,Weightlifting,,,,,
"Super-Heavyweight, Men",Sultanbay Rakhmanov,URS,JÃ¼rgen Heuser,GDR,Tadeusz Rutkowski,POL,1980,Weightlifting,,,,,
"Light-Flyweight, Greco-Roman, Men",Zhaksylyk Ushkempirov,URS,Constantin Alexandru,ROU,Ferenc Seres,HUN,1980,Wrestling,,,,,
"Flyweight, Greco-Roman, Men",Vakht'ang Blagidze,URS,Lajos RÃ¡cz,HUN,Mladen Mladenov,BUL,1980,Wrestling,,,,,
"Bantamweight, Greco-Roman, Men",Shamil Serikov,URS,JÃ³zef LipieÅ,POL,Benni Ljungbeck,SWE,1980,Wrestling,,,,,
"Featherweight, Greco-Roman, Men",Stelios Mygiakis,GRE,IstvÃ¡n TÃ³th,HUN,Boris Kramarenko,URS,1980,Wrestling,,,,,
"Lightweight, Greco-Roman, Men",Ètefan Rusu,ROU,Andrzej Supron,POL,Lars-Erik SkiÃ¶ld,SWE,1980,Wrestling,,,,,
"Welterweight, Greco-Roman, Men",Ferenc Kocsis,HUN,Anatoly Bykov,URS,Mikko Huhtala,FIN,1980,Wrestling,,,,,
"Middleweight, Greco-Roman, Men",Gennady Korban,URS,Jan DoÅgowicz,POL,Pavel Pavlov,BUL,1980,Wrestling,,,,,
"Light-Heavyweight, Greco-Roman, Men",Norbert NÃ¶vÃ©nyi,HUN,Igor Kanygin,URS,Petre Dicu,ROU,1980,Wrestling,,,,,
"Heavyweight, Greco-Roman, Men",Georgi Raykov,BUL,Roman BierÅa,POL,Vasile Andrei,ROU,1980,Wrestling,,,,,
"Super-Heavyweight, Greco-Roman, Men",Aleksandr Kolchinsky,URS,Aleksandar Tomov,BUL,Hassan Bechara,LBN,1980,Wrestling,,,,,
"Light-Flyweight, Freestyle, Men",Claudio Pollio,ITA,Jang Se-Hong,PRK,Sergey Kornilayev,URS,1980,Wrestling,,,,,
"Flyweight, Freestyle, Men",Anatoly Beloglazov,URS,WÅadysÅaw Stecyk,POL,Nermedin Selimov,BUL,1980,Wrestling,,,,,
"Bantamweight, Freestyle, Men",Sergey Beloglazov,URS,Li Ho-Pyong,PRK,DugarsÃ¼rengiin Oyuunbold,MGL,1980,Wrestling,,,,,
"Featherweight, Freestyle, Men",Magomedgasan Abushev,URS,Mikho Dukov,BUL,Georgios Khatziioannidis,GRE,1980,Wrestling,,,,,
"Lightweight, Freestyle, Men",Saypulla Absaidov,URS,Ivan Yankov,BUL,Å aban Sejdi,YUG,1980,Wrestling,,,,,
"Welterweight, Freestyle, Men",Valentin Raychev,BUL,Jamtsyn Davaajav,MGL,Dan Karabin,TCH,1980,Wrestling,,,,,
"Middleweight, Freestyle, Men",Ismail Abilov,BUL,Magomedkhan Aratsilov,URS,IstvÃ¡n KovÃ¡cs,HUN,1980,Wrestling,,,,,
"Light-Heavyweight, Freestyle, Men",Sanasar Oganisyan,URS,Uwe Neupert,GDR,Aleksander CichoÅ,POL,1980,Wrestling,,,,,
"Heavyweight, Freestyle, Men",Ilya Mate,URS,Slavcho Chervenkov,BUL,JÃºlius Strnisko,TCH,1980,Wrestling,,,,,
"Super-Heavyweight, Freestyle, Men",Soslan Andiyev,URS,JÃ³zsef Balla,HUN,Adam Sandurski,POL,1980,Wrestling,,,,,
"Individual, Men",Darrell Pace,USA,Rick McKinney,USA,Hiroshi Yamamoto,JPN,1984,Archery,,,,,
"Individual, Women",Seo Hyang-Sun,KOR,Li Lingjuan,CHN,Kim Jin-Ho,KOR,1984,Archery,,,,,
"Individual All-Around, Men",Koji Gushiken,JPN,Peter Vidmar,USA,Li Ning,CHN,1984,Artistic Gymnastics,,,,,
"Team All-Around, Men",United States,USA,People's Republic of China,CHN,Japan,JPN,1984,Artistic Gymnastics,,,,,
"Floor Exercise, Men",Li Ning,CHN,Lou Yun,CHN,Koji SotomuraPhilippe Vatuone,JPNFRA,1984,Artistic Gymnastics,,,,,
"Horse Vault, Men",Lou Yun,CHN,Li NingKoji GushikenShinji MorisueMitch Gaylord,CHNJPNJPNUSA,â,â,1984,Artistic Gymnastics,,,,,
"Parallel Bars, Men",Bart Conner,USA,Nobuyuki Kajitani,JPN,Mitch Gaylord,USA,1984,Artistic Gymnastics,,,,,
"Horizontal Bar, Men",Shinji Morisue,JPN,Tong Fei,CHN,Koji Gushiken,JPN,1984,Artistic Gymnastics,,,,,
"Rings, Men",Koji GushikenLi Ning,JPNCHN,â,â,Mitch Gaylord,USA,1984,Artistic Gymnastics,,,,,
"Pommelled Horse, Men",Li NingPeter Vidmar,CHNUSA,â,â,Tim Daggett,USA,1984,Artistic Gymnastics,,,,,
"Individual All-Around, Women",Mary Lou Retton,USA,Ecaterina Szabo,ROU,Simona PÄuca,ROU,1984,Artistic Gymnastics,,,,,
"Team All-Around, Women",Romania,ROU,United States,USA,People's Republic of China,CHN,1984,Artistic Gymnastics,,,,,
"Floor Exercise, Women",Ecaterina Szabo,ROU,Julianne McNamara,USA,Mary Lou Retton,USA,1984,Artistic Gymnastics,,,,,
"Horse Vault, Women",Ecaterina Szabo,ROU,Mary Lou Retton,USA,Lavinia Agache,ROU,1984,Artistic Gymnastics,,,,,
"Uneven Bars, Women",Ma YanhongJulianne McNamara,CHNUSA,â,â,Mary Lou Retton,USA,1984,Artistic Gymnastics,,,,,
"Balance Beam, Women",Simona PÄucaEcaterina Szabo,ROUROU,â,â,Kathy Johnson,USA,1984,Artistic Gymnastics,,,,,
"Solo, Women",Tracie Ruiz,USA,Carolyn Waldo,CAN,Miwako Motoyoshi,JPN,1984,Artistic Swimming,,,,,
"Duet, Women",United States,USA,Canada,CAN,Japan,JPN,1984,Artistic Swimming,,,,,
"1,500 metres Wheelchair, Men",,,,,,,1984,Athletics,,Olympic (non-medal),11-Aug-84,8,5
"800 metres Wheelchair, Women",,,,,,,1984,Athletics,,Olympic (non-medal),11-Aug-84,8,4
,,,,,,,1984,Athletics,,,,16 (8/8),7 (5/4)
"Basketball, Men",United States,USA,Spain,ESP,Yugoslavia,YUG,1984,Basketball,,,,,
"Basketball, Women",United States,USA,Republic of Korea,KOR,People's Republic of China,CHN,1984,Basketball,,,,,
"Light-Flyweight, Men","Paul Gonzales, Jr.",USA,Salvatore Todisco,ITA,Marcelino BolÃ­varKeith Mwila,VENZAM,1984,Boxing,,,,,
"Flyweight, Men",Steve McCrory,USA,RedÅ¾ep RedÅ¾epovski,YUG,Ibrahim BilaliEyÃ¼p Can,KENTUR,1984,Boxing,,,,,
"Bantamweight, Men",Maurizio Stecca,ITA,HÃ©ctor LÃ³pez,MEX,Dale WaltersPedro Nolasco,CANDOM,1984,Boxing,,,,,
"Featherweight, Men",Meldrick Taylor,USA,Peter Konyegwachie,NGR,Turgut AykaÃ§Omar CatarÃ­,TURVEN,1984,Boxing,,,,,
"Lightweight, Men",Pernell Whitaker,USA,Luis Ortiz,PUR,Martin N'Dongo EbangaJeon Chil-Seong,CMRKOR,1984,Boxing,,,,,
"Light-Welterweight, Men",Jerry Page,USA,Thawee Umponmaha,THA,Mirko PuzoviÄMircea Fulger,YUGROU,1984,Boxing,,,,,
"Welterweight, Men",Mark Breland,USA,An Yeong-Su,KOR,Joni NymanLuciano Bruno,FINITA,1984,Boxing,,,,,
"Light-Middleweight, Men",Frank Tate,USA,Shawn O'Sullivan,CAN,Christophe TiozzoManfred Zielonka,FRAFRG,1984,Boxing,,,,,
"Middleweight, Men",Sin Jun-Seop,KOR,Virgil Hill,USA,Mohamed ZaouiArÃ­stides GonzÃ¡lez,ALGPUR,1984,Boxing,,,,,
"Light-Heavyweight, Men",Ante JosipoviÄ,YUG,Kevin Barry,NZL,Evander HolyfieldMustapha Moussa,USAALG,1984,Boxing,,,,,
"Heavyweight, Men",Henry Tillman,USA,Willie deWit,CAN,Angelo MusoneArnold Vanderlijde,ITANED,1984,Boxing,,,,,
"Super-Heavyweight, Men",Tyrell Biggs,USA,Francesco Damiani,ITA,Bobby WellsAziz Salihu,GBRYUG,1984,Boxing,,,,,
"Kayak Singles, 500 metres, Men",Ian Ferguson,NZL,Lars-Erik Moberg,SWE,Bernard BrÃ©geon,FRA,1984,Canoe Sprint,,,,,
"Kayak Singles, 1,000 metres, Men",Alan Thompson,NZL,Milan JaniÄ,YUG,Greg Barton,USA,1984,Canoe Sprint,,,,,
"Kayak Doubles, 500 metres, Men",New Zealand,NZL,Sweden,SWE,Canada,CAN,1984,Canoe Sprint,,,,,
"Kayak Doubles, 1,000 metres, Men",Canada,CAN,France,FRA,Australia,AUS,1984,Canoe Sprint,,,,,
"Kayak Fours, 1,000 metres, Men",New Zealand,NZL,Sweden,SWE,France,FRA,1984,Canoe Sprint,,,,,
"Canadian Singles, 500 metres, Men",Larry Cain,CAN,Henning Lynge Jakobsen,DEN,CosticÄ Olaru,ROU,1984,Canoe Sprint,,,,,
"Canadian Singles, 1,000 metres, Men",Ulli Eicke,FRG,Larry Cain,CAN,Henning Lynge Jakobsen,DEN,1984,Canoe Sprint,,,,,
"Canadian Doubles, 500 metres, Men",Yugoslavia,YUG,Romania,ROU,Spain,ESP,1984,Canoe Sprint,,,,,
"Canadian Doubles, 1,000 metres, Men",Romania,ROU,Yugoslavia,YUG,France,FRA,1984,Canoe Sprint,,,,,
"Kayak Singles, 500 metres, Women",Agneta Andersson,SWE,Barbara SchÃ¼ttpelz,FRG,Annemiek Derckx,NED,1984,Canoe Sprint,,,,,
"Kayak Doubles, 500 metres, Women",Sweden,SWE,Canada,CAN,West Germany,FRG,1984,Canoe Sprint,,,,,
"Kayak Fours, 500 metres, Women",Romania,ROU,Sweden,SWE,Canada,CAN,1984,Canoe Sprint,,,,,
"Road Race, Individual, Men",Alexi Grewal,USA,Steve Bauer,CAN,Dag Otto Lauritzen,NOR,1984,Cycling Road,,,,,
"100 kilometres Team Time Trial, Men",Italy,ITA,Switzerland,SUI,United States,USA,1984,Cycling Road,,,,,
"Road Race, Individual, Women",Connie Carpenter-Phinney,USA,Rebecca Twigg,USA,Sandra Schumacher,FRG,1984,Cycling Road,,,,,
"Sprint, Men",Mark Gorski,USA,Nelson Vails,USA,Tsutomu Sakamoto,JPN,1984,Cycling Track,,,,,
"1,000 metres Time Trial, Men",Fredy Schmidtke,FRG,Curt Harnett,CAN,Fabrice Colas,FRA,1984,Cycling Track,,,,,
"Individual Pursuit, 4,000 metres, Men",Steve Hegg,USA,Rolf GÃ¶lz,FRG,Leonard Harvey Nitz,USA,1984,Cycling Track,,,,,
"Team Pursuit, 4,000 metres, Men",Australia,AUS,United States,USA,West Germany,FRG,1984,Cycling Track,,,,,
"Points Race, Men",Roger Ilegems,BEL,Uwe Messerschmidt,FRG,Manuel Youshimatz,MEX,1984,Cycling Track,,,,,
"Springboard, Men",Greg Louganis,USA,Tan Liangde,CHN,Ron Merriott,USA,1984,Diving,,,,,
"Platform, Men",Greg Louganis,USA,Bruce Kimball,USA,Li Kongzheng,CHN,1984,Diving,,,,,
"Springboard, Women",Sylvie Bernier,CAN,Kelly McCormick,USA,Christina Seufert,USA,1984,Diving,,,,,
"Platform, Women",Zhou Jihong,CHN,Michele Mitchell,USA,Wendy Wyland,USA,1984,Diving,,,,,
"Individual, Open",Reiner Klimke,FRG,Anne Grethe Jensen,DEN,Otto Hofer,SUI,1984,Equestrian Dressage,,,,,
"Team, Open",West Germany,FRG,Switzerland,SUI,Sweden,SWE,1984,Equestrian Dressage,,,,,
"Individual, Open",Mark Todd,NZL,Karen Stives,USA,Virginia Holgate,GBR,1984,Equestrian Eventing,,,,,
"Team, Open",United States,USA,Great Britain,GBR,West Germany,FRG,1984,Equestrian Eventing,,,,,
"Individual, Open",Joe Fargis,USA,Conrad Homfeld,USA,Heidi Robbiani,SUI,1984,Equestrian Jumping,,,,,
"Team, Open",United States,USA,Great Britain,GBR,West Germany,FRG,1984,Equestrian Jumping,,,,,
"Foil, Individual, Men",Mauro Numa,ITA,Matthias Behr,FRG,Stefano Cerioni,ITA,1984,Fencing,,,,,
"Foil, Team, Men",Italy,ITA,West Germany,FRG,France,FRA,1984,Fencing,,,,,
"ÃpÃ©e, Individual, Men",Philippe Boisse,FRA,BjÃ¶rne VÃ¤ggÃ¶,SWE,Philippe Riboud,FRA,1984,Fencing,,,,,
"ÃpÃ©e, Team, Men",West Germany,FRG,France,FRA,Italy,ITA,1984,Fencing,,,,,
"Sabre, Individual, Men",Jean-FranÃ§ois Lamour,FRA,Marco Marin,ITA,Peter Westbrook,USA,1984,Fencing,,,,,
"Sabre, Team, Men",Italy,ITA,France,FRA,Romania,ROU,1984,Fencing,,,,,
"Foil, Individual, Women",Jujie Luan,CHN,Cornelia Hanisch,FRG,Dorina Vaccaroni,ITA,1984,Fencing,,,,,
"Foil, Team, Women",West Germany,FRG,Romania,ROU,France,FRA,1984,Fencing,,,,,
"Football, Men",France,FRA,Brazil,BRA,Yugoslavia,YUG,1984,Football,,,,,
"Handball, Men",Yugoslavia,YUG,West Germany,FRG,Romania,ROU,1984,Handball,,,,,
"Handball, Women",Yugoslavia,YUG,Republic of Korea,KOR,People's Republic of China,CHN,1984,Handball,,,,,
"Hockey, Men",Pakistan,PAK,West Germany,FRG,Great Britain,GBR,1984,Hockey,,,,,
"Hockey, Women",Netherlands,NED,West Germany,FRG,United States,USA,1984,Hockey,,,,,
"Extra-Lightweight, Men",Shinji Hosokawa,JPN,Kim Jae-Yeop,KOR,Neil EckersleyEd Liddie,GBRUSA,1984,Judo,,,,,
"Half-Lightweight, Men",Yoshiyuki Matsuoka,JPN,Hwang Jeong-Oh,KOR,Marc AlexandrePepi Reiter,FRAAUT,1984,Judo,,,,,
"Lightweight, Men",An Byeong-Geun,KOR,Ezio Gamba,ITA,Luiz OnmuraKerrith Brown,BRAGBR,1984,Judo,,,,,
"Half-Middleweight, Men",Frank Wieneke,FRG,Neil Adams,GBR,Michel NowakMircea FrÄÈicÄ,FRAROU,1984,Judo,,,,,
"Middleweight, Men",Peter Seisenbacher,AUT,Bob Berland,USA,Seiki NoseWÃ¡lter Carmona,JPNBRA,1984,Judo,,,,,
"Half-Heavyweight, Men",Ha Hyeong-Ju,KOR,Douglas Vieira,BRA,Bjarni FriÃ°rikssonGÃ¼nther Neureuther,ISLFRG,1984,Judo,,,,,
"Heavyweight, Men",Hitoshi Saito,JPN,Angelo Parisi,FRA,Jo Yong-CheolMark Berger,KORCAN,1984,Judo,,,,,
"Open Class, Men",Yasuhiro Yamashita,JPN,Mohamed Ali Rashwan,EGY,Mihai CiocArthur Schnabel,ROUFRG,1984,Judo,,,,,
"Individual, Men",Daniele Masala,ITA,Svante Rasmuson,SWE,Carlo Massullo,ITA,1984,Modern Pentathlon,,,,,
"Team, Men",Italy,ITA,United States,USA,France,FRA,1984,Modern Pentathlon,,,,,
"Individual, Women",Lori Fung,CAN,Doina StÄiculescu,ROU,Regina Weber,FRG,1984,Rhythmic Gymnastics,,,,,
"Single Sculls, Men",Pertti Karppinen,FIN,Peter-Michael Kolbe,FRG,Robert Mills,CAN,1984,Rowing,,,,,
"Double Sculls, Men",United States,USA,Belgium,BEL,Yugoslavia,YUG,1984,Rowing,,,,,
"Quadruple Sculls, Men",West Germany,FRG,Australia,AUS,Canada,CAN,1984,Rowing,,,,,
"Coxless Pairs, Men",Romania,ROU,Spain,ESP,Norway,NOR,1984,Rowing,,,,,
"Coxed Pairs, Men",Italy,ITA,Romania,ROU,United States,USA,1984,Rowing,,,,,
"Coxless Fours, Men",New Zealand,NZL,United States,USA,Denmark,DEN,1984,Rowing,,,,,
"Coxed Fours, Men",Great Britain,GBR,United States,USA,New Zealand,NZL,1984,Rowing,,,,,
"Eights, Men",Canada,CAN,United States,USA,Australia,AUS,1984,Rowing,,,,,
"Single Sculls, Women",Valeria RÄcilÄ,ROU,Carlie Geer,USA,Ann Haesebrouck,BEL,1984,Rowing,,,,,
