LOCATION,Country,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUT,Austria,GDP,TOT,MLN_USD,A,2006,310998.391,
AUT,Austria,GDP,TOT,MLN_USD,A,2007,326699.296,
AUT,Austria,GDP,TOT,MLN_USD,A,2008,343812.976,
AUT,Austria,GDP,TOT,MLN_USD,A,2009,341644.307,
AUT,Austria,GDP,TOT,MLN_USD,A,2010,351610.069,
AUT,Austria,GDP,TOT,MLN_USD,A,2011,373031.477,
AUT,Austria,GDP,TOT,MLN_USD,A,2012,391635.176,
AUT,Austria,GDP,TOT,MLN_USD,A,2013,406370.245,
AUT,Austria,GDP,TOT,MLN_USD,A,2014,417059.519,
AUT,Austria,GDP,TOT,MLN_USD,A,2015,430975.924,
AUT,Austria,GDP,TOT,MLN_USD,A,2016,460282.647,
AUT,Austria,GDP,TOT,MLN_USD,A,2017,476563.995,
AUT,Austria,GDP,TOT,MLN_USD,A,2018,504354.99,
AUT,Austria,GDP,TOT,MLN_USD,A,2019,520804.077,
AUT,Austria,GDP,TOT,MLN_USD,A,2020,493585.301,
BEL,Belgium,GDP,TOT,MLN_USD,A,1970,37219.182,E
BEL,Belgium,GDP,TOT,MLN_USD,A,1971,40573.533,E
BEL,Belgium,GDP,TOT,MLN_USD,A,1972,44552.011,E
BEL,Belgium,GDP,TOT,MLN_USD,A,1973,49870.5,E
BEL,Belgium,GDP,TOT,MLN_USD,A,1974,56641.035,E
BEL,Belgium,GDP,TOT,MLN_USD,A,1975,61066.234,E
BEL,Belgium,GDP,TOT,MLN_USD,A,1976,68068.838,E
BEL,Belgium,GDP,TOT,MLN_USD,A,1977,72750.884,E
BEL,Belgium,GDP,TOT,MLN_USD,A,1978,80081.002,E
BEL,Belgium,GDP,TOT,MLN_USD,A,1979,88755.282,E
BEL,Belgium,GDP,TOT,MLN_USD,A,1980,101107.507,E
BEL,Belgium,GDP,TOT,MLN_USD,A,1981,110365.386,E
BEL,Belgium,GDP,TOT,MLN_USD,A,1982,117881.233,E
BEL,Belgium,GDP,TOT,MLN_USD,A,1983,122880.374,E
BEL,Belgium,GDP,TOT,MLN_USD,A,1984,130453.59,E
BEL,Belgium,GDP,TOT,MLN_USD,A,1985,136802.084,E
BEL,Belgium,GDP,TOT,MLN_USD,A,1986,142100.93,E
BEL,Belgium,GDP,TOT,MLN_USD,A,1987,148973.191,E
BEL,Belgium,GDP,TOT,MLN_USD,A,1988,161512.644,E
BEL,Belgium,GDP,TOT,MLN_USD,A,1989,173667.294,E
BEL,Belgium,GDP,TOT,MLN_USD,A,1990,185820.844,E
BEL,Belgium,GDP,TOT,MLN_USD,A,1991,195626.274,E
BEL,Belgium,GDP,TOT,MLN_USD,A,1992,203147.02,E
BEL,Belgium,GDP,TOT,MLN_USD,A,1993,205959.831,E
BEL,Belgium,GDP,TOT,MLN_USD,A,1994,217146.04,E
BEL,Belgium,GDP,TOT,MLN_USD,A,1995,226986.213,
BEL,Belgium,GDP,TOT,MLN_USD,A,1996,230441.688,
BEL,Belgium,GDP,TOT,MLN_USD,A,1997,241539.914,
BEL,Belgium,GDP,TOT,MLN_USD,A,1998,248626.188,
BEL,Belgium,GDP,TOT,MLN_USD,A,1999,260168.781,
BEL,Belgium,GDP,TOT,MLN_USD,A,2000,284950.464,
BEL,Belgium,GDP,TOT,MLN_USD,A,2001,296258.682,
BEL,Belgium,GDP,TOT,MLN_USD,A,2002,312900.475,
BEL,Belgium,GDP,TOT,MLN_USD,A,2003,320632.747,
BEL,Belgium,GDP,TOT,MLN_USD,A,2004,333856.905,
BEL,Belgium,GDP,TOT,MLN_USD,A,2005,347658.439,
BEL,Belgium,GDP,TOT,MLN_USD,A,2006,371415.055,
BEL,Belgium,GDP,TOT,MLN_USD,A,2007,390457.716,
BEL,Belgium,GDP,TOT,MLN_USD,A,2008,405729.43,
BEL,Belgium,GDP,TOT,MLN_USD,A,2009,407862.461,
BEL,Belgium,GDP,TOT,MLN_USD,A,2010,434412.544,
BEL,Belgium,GDP,TOT,MLN_USD,A,2011,451932.625,
BEL,Belgium,GDP,TOT,MLN_USD,A,2012,469720.336,
BEL,Belgium,GDP,TOT,MLN_USD,A,2013,487343.796,
BEL,Belgium,GDP,TOT,MLN_USD,A,2014,503619.623,
BEL,Belgium,GDP,TOT,MLN_USD,A,2015,520877.807,
BEL,Belgium,GDP,TOT,MLN_USD,A,2016,550677.566,
BEL,Belgium,GDP,TOT,MLN_USD,A,2017,573788.528,
BEL,Belgium,GDP,TOT,MLN_USD,A,2018,601777.448,
BEL,Belgium,GDP,TOT,MLN_USD,A,2019,628555.777,
BEL,Belgium,GDP,TOT,MLN_USD,A,2020,600544.471,P
CAN,Canada,GDP,TOT,MLN_USD,A,1961,44376.883,
CAN,Canada,GDP,TOT,MLN_USD,A,1962,48656.247,
CAN,Canada,GDP,TOT,MLN_USD,A,1963,52000.483,
CAN,Canada,GDP,TOT,MLN_USD,A,1964,56477.8,
CAN,Canada,GDP,TOT,MLN_USD,A,1965,61893.966,
CAN,Canada,GDP,TOT,MLN_USD,A,1966,68329.4,
CAN,Canada,GDP,TOT,MLN_USD,A,1967,72469.718,
CAN,Canada,GDP,TOT,MLN_USD,A,1968,80115.42,
CAN,Canada,GDP,TOT,MLN_USD,A,1969,88783.769,
CAN,Canada,GDP,TOT,MLN_USD,A,1970,99498.995,
CAN,Canada,GDP,TOT,MLN_USD,A,1971,108693.37,
CAN,Canada,GDP,TOT,MLN_USD,A,1972,119639.463,
CAN,Canada,GDP,TOT,MLN_USD,A,1973,134821.968,
CAN,Canada,GDP,TOT,MLN_USD,A,1974,151774.749,
CAN,Canada,GDP,TOT,MLN_USD,A,1975,168256.284,
CAN,Canada,GDP,TOT,MLN_USD,A,1976,187951.588,
CAN,Canada,GDP,TOT,MLN_USD,A,1977,206493.267,
CAN,Canada,GDP,TOT,MLN_USD,A,1978,229158.872,
CAN,Canada,GDP,TOT,MLN_USD,A,1979,257381.303,
CAN,Canada,GDP,TOT,MLN_USD,A,1980,286679.746,
CAN,Canada,GDP,TOT,MLN_USD,A,1981,324707.915,
CAN,Canada,GDP,TOT,MLN_USD,A,1982,333780.398,
CAN,Canada,GDP,TOT,MLN_USD,A,1983,355876.659,
CAN,Canada,GDP,TOT,MLN_USD,A,1984,390501.086,
CAN,Canada,GDP,TOT,MLN_USD,A,1985,421935.112,
CAN,Canada,GDP,TOT,MLN_USD,A,1986,439665.103,
CAN,Canada,GDP,TOT,MLN_USD,A,1987,468885.928,
CAN,Canada,GDP,TOT,MLN_USD,A,1988,506833.394,
CAN,Canada,GDP,TOT,MLN_USD,A,1989,538906.579,
CAN,Canada,GDP,TOT,MLN_USD,A,1990,560000.309,
CAN,Canada,GDP,TOT,MLN_USD,A,1991,566861,
CAN,Canada,GDP,TOT,MLN_USD,A,1992,584998.762,
CAN,Canada,GDP,TOT,MLN_USD,A,1993,614793.811,
CAN,Canada,GDP,TOT,MLN_USD,A,1994,656143.717,
CAN,Canada,GDP,TOT,MLN_USD,A,1995,687948.942,
CAN,Canada,GDP,TOT,MLN_USD,A,1996,711888.548,
CAN,Canada,GDP,TOT,MLN_USD,A,1997,755158.587,
CAN,Canada,GDP,TOT,MLN_USD,A,1998,793411.459,
CAN,Canada,GDP,TOT,MLN_USD,A,1999,846421.343,
CAN,Canada,GDP,TOT,MLN_USD,A,2000,901029.605,
CAN,Canada,GDP,TOT,MLN_USD,A,2001,937274.87,
CAN,Canada,GDP,TOT,MLN_USD,A,2002,971009.088,
CAN,Canada,GDP,TOT,MLN_USD,A,2003,1023165.602,
CAN,Canada,GDP,TOT,MLN_USD,A,2004,1083146.524,
CAN,Canada,GDP,TOT,MLN_USD,A,2005,1171340.162,
CAN,Canada,GDP,TOT,MLN_USD,A,2006,1241194.165,
CAN,Canada,GDP,TOT,MLN_USD,A,2007,1300942.608,
CAN,Canada,GDP,TOT,MLN_USD,A,2008,1342396.613,
CAN,Canada,GDP,TOT,MLN_USD,A,2009,1307953.077,
CAN,Canada,GDP,TOT,MLN_USD,A,2010,1364079.668,
CAN,Canada,GDP,TOT,MLN_USD,A,2011,1430807.125,
CAN,Canada,GDP,TOT,MLN_USD,A,2012,1468094.965,
CAN,Canada,GDP,TOT,MLN_USD,A,2013,1554122.745,
CAN,Canada,GDP,TOT,MLN_USD,A,2014,1621396.709,
CAN,Canada,GDP,TOT,MLN_USD,A,2015,1594850.842,
CAN,Canada,GDP,TOT,MLN_USD,A,2016,1678093.396,
CAN,Canada,GDP,TOT,MLN_USD,A,2017,1765763.154,
CAN,Canada,GDP,TOT,MLN_USD,A,2018,1862154.108,
CAN,Canada,GDP,TOT,MLN_USD,A,2019,1904502.917,
CAN,Canada,GDP,TOT,MLN_USD,A,2020,1827709.388,
CZE,Czech Republic,GDP,TOT,MLN_USD,A,1990,131987.382,E
CZE,Czech Republic,GDP,TOT,MLN_USD,A,1991,120602.183,E
CZE,Czech Republic,GDP,TOT,MLN_USD,A,1992,122725.773,E
CZE,Czech Republic,GDP,TOT,MLN_USD,A,1993,125711.264,E
CZE,Czech Republic,GDP,TOT,MLN_USD,A,1994,132131.102,E
CZE,Czech Republic,GDP,TOT,MLN_USD,A,1995,142784.042,
CZE,Czech Republic,GDP,TOT,MLN_USD,A,1996,151155.623,
CZE,Czech Republic,GDP,TOT,MLN_USD,A,1997,152702.018,
CZE,Czech Republic,GDP,TOT,MLN_USD,A,1998,154180.022,
CZE,Czech Republic,GDP,TOT,MLN_USD,A,1999,158333.514,
CZE,Czech Republic,GDP,TOT,MLN_USD,A,2000,166568.303,
CZE,Czech Republic,GDP,TOT,MLN_USD,A,2001,180105.226,
CZE,Czech Republic,GDP,TOT,MLN_USD,A,2002,186119.946,
CZE,Czech Republic,GDP,TOT,MLN_USD,A,2003,198965.796,
CZE,Czech Republic,GDP,TOT,MLN_USD,A,2004,213269.646,
CZE,Czech Republic,GDP,TOT,MLN_USD,A,2005,225620.781,
CZE,Czech Republic,GDP,TOT,MLN_USD,A,2006,244624.887,
CZE,Czech Republic,GDP,TOT,MLN_USD,A,2007,270349.144,
CZE,Czech Republic,GDP,TOT,MLN_USD,A,2008,290503.947,
CZE,Czech Republic,GDP,TOT,MLN_USD,A,2009,290152.861,
CZE,Czech Republic,GDP,TOT,MLN_USD,A,2010,292270.175,
CZE,Czech Republic,GDP,TOT,MLN_USD,A,2011,304400.914,
CZE,Czech Republic,GDP,TOT,MLN_USD,A,2012,307490.199,
CZE,Czech Republic,GDP,TOT,MLN_USD,A,2013,324029.978,
CZE,Czech Republic,GDP,TOT,MLN_USD,A,2014,342099.837,
CZE,Czech Republic,GDP,TOT,MLN_USD,A,2015,357503.881,
CZE,Czech Republic,GDP,TOT,MLN_USD,A,2016,381420.335,
CZE,Czech Republic,GDP,TOT,MLN_USD,A,2017,411327.86,
CZE,Czech Republic,GDP,TOT,MLN_USD,A,2018,437252.426,
CZE,Czech Republic,GDP,TOT,MLN_USD,A,2019,458949.665,
CZE,Czech Republic,GDP,TOT,MLN_USD,A,2020,446544.295,
DNK,Denmark,GDP,TOT,MLN_USD,A,1966,16625.045,
DNK,Denmark,GDP,TOT,MLN_USD,A,1967,17777.523,
DNK,Denmark,GDP,TOT,MLN_USD,A,1968,19448.084,
DNK,Denmark,GDP,TOT,MLN_USD,A,1969,21893.14,
DNK,Denmark,GDP,TOT,MLN_USD,A,1970,20927.919,
DNK,Denmark,GDP,TOT,MLN_USD,A,1971,22649.551,
DNK,Denmark,GDP,TOT,MLN_USD,A,1972,24557.097,
DNK,Denmark,GDP,TOT,MLN_USD,A,1973,26962.985,
DNK,Denmark,GDP,TOT,MLN_USD,A,1974,29059.436,
DNK,Denmark,GDP,TOT,MLN_USD,A,1975,31288.602,
DNK,Denmark,GDP,TOT,MLN_USD,A,1976,34966.278,
DNK,Denmark,GDP,TOT,MLN_USD,A,1977,37833.463,
DNK,Denmark,GDP,TOT,MLN_USD,A,1978,41396.141,
DNK,Denmark,GDP,TOT,MLN_USD,A,1979,46565.157,
DNK,Denmark,GDP,TOT,MLN_USD,A,1980,50526.186,
DNK,Denmark,GDP,TOT,MLN_USD,A,1981,54938.65,
DNK,Denmark,GDP,TOT,MLN_USD,A,1982,60482.2,
DNK,Denmark,GDP,TOT,MLN_USD,A,1983,64482.81,
DNK,Denmark,GDP,TOT,MLN_USD,A,1984,69592.53,
DNK,Denmark,GDP,TOT,MLN_USD,A,1985,74667.785,
DNK,Denmark,GDP,TOT,MLN_USD,A,1986,79907.103,
DNK,Denmark,GDP,TOT,MLN_USD,A,1987,82091.001,
DNK,Denmark,GDP,TOT,MLN_USD,A,1988,84975.149,
DNK,Denmark,GDP,TOT,MLN_USD,A,1989,88876.206,
DNK,Denmark,GDP,TOT,MLN_USD,A,1990,93563.362,
DNK,Denmark,GDP,TOT,MLN_USD,A,1991,98075.471,
DNK,Denmark,GDP,TOT,MLN_USD,A,1992,102273.607,
DNK,Denmark,GDP,TOT,MLN_USD,A,1993,104707.944,
DNK,Denmark,GDP,TOT,MLN_USD,A,1994,112646.596,
DNK,Denmark,GDP,TOT,MLN_USD,A,1995,118490.59,
DNK,Denmark,GDP,TOT,MLN_USD,A,1996,124645.348,
DNK,Denmark,GDP,TOT,MLN_USD,A,1997,131700.486,
DNK,Denmark,GDP,TOT,MLN_USD,A,1998,136917.875,
DNK,Denmark,GDP,TOT,MLN_USD,A,1999,141846.299,
DNK,Denmark,GDP,TOT,MLN_USD,A,2000,153089.947,
DNK,Denmark,GDP,TOT,MLN_USD,A,2001,157816.394,
DNK,Denmark,GDP,TOT,MLN_USD,A,2002,164720.391,
DNK,Denmark,GDP,TOT,MLN_USD,A,2003,165968.36,
DNK,Denmark,GDP,TOT,MLN_USD,A,2004,177870.417,
DNK,Denmark,GDP,TOT,MLN_USD,A,2005,185074.466,
DNK,Denmark,GDP,TOT,MLN_USD,A,2006,202725.721,
DNK,Denmark,GDP,TOT,MLN_USD,A,2007,212771.394,
DNK,Denmark,GDP,TOT,MLN_USD,A,2008,226767.494,
DNK,Denmark,GDP,TOT,MLN_USD,A,2009,222918.17,
DNK,Denmark,GDP,TOT,MLN_USD,A,2010,238749.494,
DNK,Denmark,GDP,TOT,MLN_USD,A,2011,247352.237,
DNK,Denmark,GDP,TOT,MLN_USD,A,2012,250524.599,
DNK,Denmark,GDP,TOT,MLN_USD,A,2013,262368.12,
DNK,Denmark,GDP,TOT,MLN_USD,A,2014,270330.607,
DNK,Denmark,GDP,TOT,MLN_USD,A,2015,278748.365,
DNK,Denmark,GDP,TOT,MLN_USD,A,2016,297719.06,
DNK,Denmark,GDP,TOT,MLN_USD,A,2017,319130.165,
DNK,Denmark,GDP,TOT,MLN_USD,A,2018,332918.429,
DNK,Denmark,GDP,TOT,MLN_USD,A,2019,350812.056,
DNK,Denmark,GDP,TOT,MLN_USD,A,2020,352207.801,
FIN,Finland,GDP,TOT,MLN_USD,A,1970,15545.511,E
FIN,Finland,GDP,TOT,MLN_USD,A,1971,16718.505,E
FIN,Finland,GDP,TOT,MLN_USD,A,1972,18790.37,E
FIN,Finland,GDP,TOT,MLN_USD,A,1973,21204.258,E
FIN,Finland,GDP,TOT,MLN_USD,A,1974,23860.403,E
FIN,Finland,GDP,TOT,MLN_USD,A,1975,26541.047,E
FIN,Finland,GDP,TOT,MLN_USD,A,1976,28098.137,E
FIN,Finland,GDP,TOT,MLN_USD,A,1977,29915.454,E
FIN,Finland,GDP,TOT,MLN_USD,A,1978,32954.538,E
FIN,Finland,GDP,TOT,MLN_USD,A,1979,38230.362,E
FIN,Finland,GDP,TOT,MLN_USD,A,1980,43930.08,
FIN,Finland,GDP,TOT,MLN_USD,A,1981,48719.588,
FIN,Finland,GDP,TOT,MLN_USD,A,1982,53337.393,
FIN,Finland,GDP,TOT,MLN_USD,A,1983,57153.909,
FIN,Finland,GDP,TOT,MLN_USD,A,1984,61133.087,
FIN,Finland,GDP,TOT,MLN_USD,A,1985,65304.549,
FIN,Finland,GDP,TOT,MLN_USD,A,1986,68455.509,
FIN,Finland,GDP,TOT,MLN_USD,A,1987,72655.738,
FIN,Finland,GDP,TOT,MLN_USD,A,1988,79142.893,
FIN,Finland,GDP,TOT,MLN_USD,A,1989,86429.513,
FIN,Finland,GDP,TOT,MLN_USD,A,1990,90265.862,
FIN,Finland,GDP,TOT,MLN_USD,A,1991,87825.403,
FIN,Finland,GDP,TOT,MLN_USD,A,1992,86867.373,
FIN,Finland,GDP,TOT,MLN_USD,A,1993,88336.821,
FIN,Finland,GDP,TOT,MLN_USD,A,1994,93798.735,
FIN,Finland,GDP,TOT,MLN_USD,A,1995,99803.842,
FIN,Finland,GDP,TOT,MLN_USD,A,1996,102688.609,
FIN,Finland,GDP,TOT,MLN_USD,A,1997,111981.083,
FIN,Finland,GDP,TOT,MLN_USD,A,1998,121498.841,
FIN,Finland,GDP,TOT,MLN_USD,A,1999,127934.786,
FIN,Finland,GDP,TOT,MLN_USD,A,2000,138703.58,
FIN,Finland,GDP,TOT,MLN_USD,A,2001,144266.623,
FIN,Finland,GDP,TOT,MLN_USD,A,2002,148763.802,
FIN,Finland,GDP,TOT,MLN_USD,A,2003,151289.787,
FIN,Finland,GDP,TOT,MLN_USD,A,2004,162992.94,
FIN,Finland,GDP,TOT,MLN_USD,A,2005,168146.753,
FIN,Finland,GDP,TOT,MLN_USD,A,2006,181207.156,
FIN,Finland,GDP,TOT,MLN_USD,A,2007,199873.495,
FIN,Finland,GDP,TOT,MLN_USD,A,2008,212980.742,
FIN,Finland,GDP,TOT,MLN_USD,A,2009,202878.3,
FIN,Finland,GDP,TOT,MLN_USD,A,2010,209096.826,
FIN,Finland,GDP,TOT,MLN_USD,A,2011,220471.171,
FIN,Finland,GDP,TOT,MLN_USD,A,2012,221285.636,
FIN,Finland,GDP,TOT,MLN_USD,A,2013,225679.983,
FIN,Finland,GDP,TOT,MLN_USD,A,2014,228058.636,
FIN,Finland,GDP,TOT,MLN_USD,A,2015,232867.602,
FIN,Finland,GDP,TOT,MLN_USD,A,2016,246928.493,
FIN,Finland,GDP,TOT,MLN_USD,A,2017,262026.563,
FIN,Finland,GDP,TOT,MLN_USD,A,2018,274425.751,
FIN,Finland,GDP,TOT,MLN_USD,A,2019,284674.869,
FIN,Finland,GDP,TOT,MLN_USD,A,2020,282563.407,
FRA,France,GDP,TOT,MLN_USD,A,1960,84286.645,
FRA,France,GDP,TOT,MLN_USD,A,1961,89236.064,
FRA,France,GDP,TOT,MLN_USD,A,1962,97734.662,
FRA,France,GDP,TOT,MLN_USD,A,1963,104468.637,
FRA,France,GDP,TOT,MLN_USD,A,1964,113249.46,
FRA,France,GDP,TOT,MLN_USD,A,1965,122389.747,
FRA,France,GDP,TOT,MLN_USD,A,1966,133414.117,
FRA,France,GDP,TOT,MLN_USD,A,1967,143803.056,
FRA,France,GDP,TOT,MLN_USD,A,1968,157794.703,
FRA,France,GDP,TOT,MLN_USD,A,1969,179129.265,
FRA,France,GDP,TOT,MLN_USD,A,1970,191396.986,
FRA,France,GDP,TOT,MLN_USD,A,1971,211791.061,
FRA,France,GDP,TOT,MLN_USD,A,1972,230914.012,
FRA,France,GDP,TOT,MLN_USD,A,1973,259021.186,
FRA,France,GDP,TOT,MLN_USD,A,1974,294472.454,
FRA,France,GDP,TOT,MLN_USD,A,1975,318659.915,
FRA,France,GDP,TOT,MLN_USD,A,1976,350844.298,
FRA,France,GDP,TOT,MLN_USD,A,1977,385553.046,
FRA,France,GDP,TOT,MLN_USD,A,1978,429090.56,
FRA,France,GDP,TOT,MLN_USD,A,1979,481186.916,
FRA,France,GDP,TOT,MLN_USD,A,1980,532935.642,
FRA,France,GDP,TOT,MLN_USD,A,1981,589599.228,
FRA,France,GDP,TOT,MLN_USD,A,1982,641710.412,
FRA,France,GDP,TOT,MLN_USD,A,1983,675119.392,
FRA,France,GDP,TOT,MLN_USD,A,1984,710063.913,
FRA,France,GDP,TOT,MLN_USD,A,1985,744406.479,
FRA,France,GDP,TOT,MLN_USD,A,1986,777147.28,
FRA,France,GDP,TOT,MLN_USD,A,1987,816764.199,
FRA,France,GDP,TOT,MLN_USD,A,1988,885681.871,
FRA,France,GDP,TOT,MLN_USD,A,1989,960384.657,
FRA,France,GDP,TOT,MLN_USD,A,1990,1025467.267,
FRA,France,GDP,TOT,MLN_USD,A,1991,1071258.248,
FRA,France,GDP,TOT,MLN_USD,A,1992,1113194.79,
FRA,France,GDP,TOT,MLN_USD,A,1993,1132405.395,
FRA,France,GDP,TOT,MLN_USD,A,1994,1183862.802,
FRA,France,GDP,TOT,MLN_USD,A,1995,1234149.753,
FRA,France,GDP,TOT,MLN_USD,A,1996,1273114.085,
FRA,France,GDP,TOT,MLN_USD,A,1997,1333377.621,
FRA,France,GDP,TOT,MLN_USD,A,1998,1405861.087,
FRA,France,GDP,TOT,MLN_USD,A,1999,1470523.886,
FRA,France,GDP,TOT,MLN_USD,A,2000,1589936.939,
FRA,France,GDP,TOT,MLN_USD,A,2001,1687447.704,
