Year,Country Code,Population
2007,CYM,52280.0
2008,CYM,53835.0
2009,CYM,55321.0
2010,CYM,56672.0
2011,CYM,57877.0
2012,CYM,58963.0
2013,CYM,59933.0
2014,CYM,60848.0
2015,CYM,61721.0
2016,CYM,62564.0
1964,CYP,578628.0
1965,CYP,580972.0
1966,CYP,585313.0
1967,CYP,591301.0
1968,CYP,598495.0
1969,CYP,606121.0
1970,CYP,613618.0
1971,CYP,620860.0
1972,CYP,628002.0
1973,CYP,635105.0
1974,CYP,642322.0
1975,CYP,649753.0
1976,CYP,657524.0
1977,CYP,665521.0
1978,CYP,673253.0
1979,CYP,680010.0
1980,CYP,685408.0
1981,CYP,689170.0
1982,CYP,691716.0
1983,CYP,694076.0
1984,CYP,697715.0
1985,CYP,703694.0
1986,CYP,712335.0
1987,CYP,723384.0
1988,CYP,736476.0
1989,CYP,751043.0
1990,CYP,766616.0
1991,CYP,783121.0
1992,CYP,800610.0
1993,CYP,818750.0
1994,CYP,837104.0
1995,CYP,855391.0
1996,CYP,873426.0
1997,CYP,891190.0
1998,CYP,908710.0
1999,CYP,926049.0
2000,CYP,943288.0
2001,CYP,960274.0
2002,CYP,976968.0
2003,CYP,993562.0
2004,CYP,1010410.0
2005,CYP,1027657.0
2006,CYP,1045508.0
2007,CYP,1063708.0
2008,CYP,1081568.0
2009,CYP,1098089.0
2010,CYP,1112617.0
2011,CYP,1124837.0
2012,CYP,1135046.0
2013,CYP,1143866.0
2014,CYP,1152297.0
2015,CYP,1160987.0
2016,CYP,1170189.0
1964,CZE,9727804.0
1965,CZE,9779358.0
1966,CZE,9821040.0
1967,CZE,9852899.0
1968,CZE,9876346.0
1969,CZE,9896580.0
1970,CZE,9858071.0
1971,CZE,9826815.0
1972,CZE,9867632.0
1973,CZE,9922266.0
1974,CZE,9988459.0
1975,CZE,10058620.0
1976,CZE,10125939.0
1977,CZE,10186755.0
1978,CZE,10242098.0
1979,CZE,10292341.0
1980,CZE,10304193.0
1981,CZE,10300591.0
1982,CZE,10314826.0
1983,CZE,10323856.0
1984,CZE,10330213.0
1985,CZE,10337118.0
1986,CZE,10342227.0
1987,CZE,10347318.0
1988,CZE,10355276.0
1989,CZE,10361068.0
1990,CZE,10333355.0
1991,CZE,10308578.0
1992,CZE,10319123.0
1993,CZE,10329855.0
1994,CZE,10333587.0
1995,CZE,10327253.0
1996,CZE,10315241.0
1997,CZE,10304131.0
1998,CZE,10294373.0
1999,CZE,10283860.0
2000,CZE,10255063.0
2001,CZE,10216605.0
2002,CZE,10196916.0
2003,CZE,10193998.0
2004,CZE,10197101.0
2005,CZE,10211216.0
2006,CZE,10238905.0
2007,CZE,10298828.0
2008,CZE,10384603.0
2009,CZE,10443936.0
2010,CZE,10474410.0
2011,CZE,10496088.0
2012,CZE,10510785.0
2013,CZE,10514272.0
2014,CZE,10525347.0
2015,CZE,10546059.0
2016,CZE,10566332.0
1964,DEU,75318337.0
1965,DEU,75963695.0
1966,DEU,76600311.0
1967,DEU,76951336.0
1968,DEU,77294314.0
1969,DEU,77909682.0
1970,DEU,78169289.0
1971,DEU,78312842.0
1972,DEU,78688452.0
1973,DEU,78936666.0
1974,DEU,78967433.0
1975,DEU,78673554.0
1976,DEU,78336950.0
1977,DEU,78159814.0
1978,DEU,78091820.0
1979,DEU,78126350.0
1980,DEU,78288576.0
1981,DEU,78407907.0
1982,DEU,78333366.0
1983,DEU,78128282.0
1984,DEU,77858685.0
1985,DEU,77684873.0
1986,DEU,77720436.0
1987,DEU,77839920.0
1988,DEU,78144619.0
1989,DEU,78751283.0
1990,DEU,79433029.0
1991,DEU,80013896.0
1992,DEU,80624598.0
1993,DEU,81156363.0
1994,DEU,81438348.0
1995,DEU,81678051.0
1996,DEU,81914831.0
1997,DEU,82034771.0
1998,DEU,82047195.0
1999,DEU,82100243.0
2000,DEU,82211508.0
2001,DEU,82349925.0
2002,DEU,82488495.0
2003,DEU,82534176.0
2004,DEU,82516260.0
2005,DEU,82469422.0
2006,DEU,82376451.0
2007,DEU,82266372.0
2008,DEU,82110097.0
2009,DEU,81902307.0
2010,DEU,81776930.0
2011,DEU,80274983.0
2012,DEU,80425823.0
2013,DEU,80645605.0
2014,DEU,80982500.0
2015,DEU,81686611.0
2016,DEU,82348669.0
1964,DJI,107582.0
1965,DJI,114976.0
1966,DJI,122876.0
1967,DJI,131405.0
1968,DJI,140462.0
1969,DJI,149889.0
1970,DJI,159662.0
1971,DJI,169372.0
1972,DJI,179237.0
1973,DJI,190569.0
1974,DJI,205180.0
1975,DJI,224177.0
1976,DJI,248556.0
1977,DJI,277472.0
1978,DJI,308008.0
1979,DJI,336080.0
1980,DJI,358960.0
1981,DJI,374934.0
1982,DJI,385268.0
1983,DJI,393800.0
1984,DJI,406018.0
1985,DJI,425608.0
1986,DJI,454359.0
1987,DJI,490337.0
1988,DJI,528993.0
1989,DJI,563855.0
1990,DJI,590393.0
1991,DJI,606843.0
1992,DJI,615050.0
1993,DJI,618504.0
1994,DJI,622364.0
1995,DJI,630385.0
1996,DJI,643649.0
1997,DJI,660858.0
1998,DJI,680465.0
1999,DJI,699973.0
2000,DJI,717577.0
2001,DJI,733019.0
2002,DJI,746947.0
2003,DJI,759639.0
2004,DJI,771599.0
2005,DJI,783248.0
2006,DJI,794554.0
2007,DJI,805456.0
2008,DJI,816361.0
2009,DJI,827820.0
2010,DJI,840194.0
2011,DJI,853671.0
2012,DJI,868136.0
2013,DJI,883296.0
2014,DJI,898707.0
2015,DJI,913998.0
2016,DJI,929117.0
1964,DMA,63921.0
1965,DMA,65044.0
1966,DMA,66300.0
1967,DMA,67687.0
1968,DMA,69034.0
1969,DMA,70214.0
1970,DMA,71084.0
1971,DMA,71569.0
1972,DMA,71731.0
1973,DMA,71739.0
1974,DMA,71814.0
1975,DMA,72088.0
1976,DMA,72662.0
1977,DMA,73443.0
1978,DMA,74280.0
1979,DMA,74960.0
1980,DMA,75318.0
1981,DMA,75314.0
1982,DMA,75012.0
1983,DMA,74484.0
1984,DMA,73846.0
1985,DMA,73207.0
1986,DMA,72531.0
1987,DMA,71842.0
1988,DMA,71212.0
1989,DMA,70722.0
1990,DMA,70422.0
1991,DMA,70377.0
1992,DMA,70546.0
1993,DMA,70818.0
1994,DMA,71044.0
1995,DMA,71105.0
1996,DMA,70933.0
1997,DMA,70592.0
1998,DMA,70183.0
1999,DMA,69828.0
2000,DMA,69650.0
2001,DMA,69671.0
2002,DMA,69840.0
2003,DMA,70102.0
2004,DMA,70387.0
2005,DMA,70580.0
2006,DMA,70718.0
2007,DMA,70797.0
2008,DMA,70829.0
2009,DMA,70848.0
2010,DMA,70877.0
2011,DMA,70912.0
2012,DMA,70954.0
2013,DMA,71019.0
2014,DMA,71091.0
2015,DMA,71175.0
2016,DMA,71307.0
1964,DNK,4722072.0
1965,DNK,4759012.0
1966,DNK,4797381.0
1967,DNK,4835354.0
1968,DNK,4864883.0
1969,DNK,4891860.0
1970,DNK,4928757.0
1971,DNK,4963126.0
1972,DNK,4991596.0
1973,DNK,5021861.0
1974,DNK,5045297.0
1975,DNK,5059862.0
1976,DNK,5072596.0
1977,DNK,5088419.0
1978,DNK,5104248.0
1979,DNK,5116801.0
1980,DNK,5123027.0
1981,DNK,5121572.0
1982,DNK,5117810.0
1983,DNK,5114297.0
1984,DNK,5111619.0
1985,DNK,5113691.0
1986,DNK,5120534.0
1987,DNK,5127024.0
1988,DNK,5129516.0
1989,DNK,5132594.0
1990,DNK,5140939.0
1991,DNK,5154298.0
1992,DNK,5171370.0
1993,DNK,5188628.0
1994,DNK,5206180.0
1995,DNK,5233373.0
1996,DNK,5263074.0
1997,DNK,5284991.0
1998,DNK,5304219.0
1999,DNK,5321799.0
2000,DNK,5339616.0
2001,DNK,5358783.0
2002,DNK,5375931.0
2003,DNK,5390574.0
2004,DNK,5404523.0
2005,DNK,5419432.0
2006,DNK,5437272.0
2007,DNK,5461438.0
2008,DNK,5493621.0
2009,DNK,5523095.0
2010,DNK,5547683.0
2011,DNK,5570572.0
2012,DNK,5591572.0
2013,DNK,5614932.0
2014,DNK,5643475.0
2015,DNK,5683483.0
2016,DNK,5728010.0
1964,DOM,3757123.0
1965,DOM,3877768.0
1966,DOM,3999796.0
1967,DOM,4123100.0
1968,DOM,4247559.0
1969,DOM,4373127.0
1970,DOM,4499722.0
1971,DOM,4627202.0
1972,DOM,4755464.0
1973,DOM,4884460.0
1974,DOM,5014187.0
1975,DOM,5144632.0
1976,DOM,5275767.0
1977,DOM,5407496.0
1978,DOM,5539596.0
1979,DOM,5671801.0
1980,DOM,5803929.0
1981,DOM,5935895.0
1982,DOM,6067769.0
1983,DOM,6199657.0
1984,DOM,6331760.0
1985,DOM,6464229.0
1986,DOM,6596967.0
1987,DOM,6729930.0
1988,DOM,6863438.0
1989,DOM,6997877.0
1990,DOM,7133491.0
1991,DOM,7270413.0
1992,DOM,7408339.0
1993,DOM,7546467.0
1994,DOM,7683707.0
1995,DOM,7819239.0
1996,DOM,7952766.0
1997,DOM,8084407.0
1998,DOM,8214427.0
1999,DOM,8343288.0
2000,DOM,8471317.0
2001,DOM,8598599.0
2002,DOM,8724974.0
2003,DOM,8850317.0
2004,DOM,8974444.0
2005,DOM,9097262.0
2006,DOM,9218681.0
2007,DOM,9338856.0
2008,DOM,9458079.0
2009,DOM,9576736.0
2010,DOM,9695117.0
2011,DOM,9813219.0
2012,DOM,9930916.0
2013,DOM,10048226.0
2014,DOM,10165182.0
2015,DOM,10281675.0
2016,DOM,10397738.0
1964,DZA,12221675.0
1965,DZA,12550880.0
1966,DZA,12902626.0
1967,DZA,13275020.0
1968,DZA,13663581.0
1969,DZA,14061724.0
1970,DZA,14464992.0
1971,DZA,14872253.0
1972,DZA,15285992.0
1973,DZA,15709831.0
1974,DZA,16149018.0
1975,DZA,16607706.0
1976,DZA,17085799.0
1977,DZA,17582899.0
1978,DZA,18102266.0
1979,DZA,18647801.0
1980,DZA,19221659.0
1981,DZA,19824297.0
1982,DZA,20452901.0
1983,DZA,21101875.0
1984,DZA,21763578.0
1985,DZA,22431507.0
1986,DZA,23102386.0
1987,DZA,23774287.0
1988,DZA,24443472.0
1989,DZA,25106192.0
1990,DZA,25758872.0
1991,DZA,26400468.0
1992,DZA,27028330.0
1993,DZA,27635517.0
1994,DZA,28213777.0
1995,DZA,28757788.0
1996,DZA,29266415.0
1997,DZA,29742980.0
1998,DZA,30192750.0
1999,DZA,30623406.0
2000,DZA,31042238.0
2001,DZA,31451513.0
2002,DZA,31855110.0
2003,DZA,32264159.0
2004,DZA,32692153.0
2005,DZA,33149720.0
2006,DZA,33641007.0
2007,DZA,34166976.0
2008,DZA,34730604.0
2009,DZA,35333882.0
2010,DZA,35977451.0
2011,DZA,36661438.0
2012,DZA,37383899.0
2013,DZA,38140135.0
2014,DZA,38923688.0
2015,DZA,39728020.0
2016,DZA,40551398.0
1964,EAP,952494226.0
1965,EAP,976360559.0
1966,EAP,1003799539.0
1967,EAP,1030341030.0
1968,EAP,1057848841.0
1969,EAP,1087054621.0
1970,EAP,1117162921.0
1971,EAP,1147907376.0
1972,EAP,1176909425.0
1973,EAP,1204956207.0
1974,EAP,1231481379.0
1975,EAP,1255568332.0
1976,EAP,1277786882.0
1977,EAP,1298403379.0
1978,EAP,1318985502.0
1979,EAP,1339874993.0
1980,EAP,1360437112.0
1981,EAP,1381732250.0
1982,EAP,1405388781.0
1983,EAP,1429179263.0
1984,EAP,1451901724.0
1985,EAP,1475340043.0
1986,EAP,1500310495.0
1987,EAP,1526774417.0
1988,EAP,1553548236.0
1989,EAP,1579666262.0
1990,EAP,1605187660.0
1991,EAP,1629631622.0
1992,EAP,1652528279.0
1993,EAP,1674580221.0
1994,EAP,1696464118.0
1995,EAP,1717901663.0
1996,EAP,1738949771.0
1997,EAP,1759750554.0
1998,EAP,1779788454.0
1999,EAP,1798639494.0
2000,EAP,1816455800.0
2001,EAP,1833422980.0
2002,EAP,1849607527.0
2003,EAP,1865132738.0
2004,EAP,1880248912.0
2005,EAP,1895275475.0
2006,EAP,1909891482.0
2007,EAP,1924018171.0
2008,EAP,1938057262.0
2009,EAP,1952017377.0
2010,EAP,1965954326.0
2011,EAP,1980035204.0
2012,EAP,1994389913.0
2013,EAP,2008919318.0
2014,EAP,2023595907.0
2015,EAP,2038190024.0
2016,EAP,2053107304.0
1964,EAR,1077531237.0
1965,EAR,1103859981.0
1966,EAR,1130947721.0
1967,EAR,1158861175.0
1968,EAR,1187474694.0
1969,EAR,1216839339.0
1970,EAR,1246947673.0
1971,EAR,1277799456.0
1972,EAR,1309397210.0
1973,EAR,1341779503.0
1974,EAR,1374824941.0
1975,EAR,1408534717.0
1976,EAR,1442862522.0
1977,EAR,1477869964.0
1978,EAR,1513819992.0
1979,EAR,1551093148.0
1980,EAR,1589897378.0
1981,EAR,1630293423.0
1982,EAR,1672134835.0
1983,EAR,1715134126.0
1984,EAR,1758863284.0
1985,EAR,1803032659.0
1986,EAR,1847526576.0
1987,EAR,1892336352.0
1988,EAR,1937278919.0
1989,EAR,1982160339.0
1990,EAR,2028993568.0
1991,EAR,2073591177.0
1992,EAR,2117785781.0
1993,EAR,2161761687.0
1994,EAR,2205758867.0
1995,EAR,2249993925.0
1996,EAR,2294576653.0
1997,EAR,2339379359.0
1998,EAR,2384127937.0
1999,EAR,2428606122.0
2000,EAR,2472852816.0
2001,EAR,2516662185.0
2002,EAR,2560101448.0
2003,EAR,2603300762.0
2004,EAR,2646483605.0
2005,EAR,2689792006.0
2006,EAR,2733278857.0
2007,EAR,2776922505.0
2008,EAR,2820636607.0
2009,EAR,2864298814.0
2010,EAR,2907916947.0
2011,EAR,2951423688.0
2012,EAR,2994346938.0
2013,EAR,3037084158.0
2014,EAR,3079685581.0
2015,EAR,3122156833.0
2016,EAR,3164439749.0
1964,EAS,1109291332.0
1965,EAS,1135760430.0
1966,EAS,1165660993.0
1967,EAS,1194423916.0
1968,EAS,1224481196.0
1969,EAS,1256501888.0
1970,EAS,1289442011.0
1971,EAS,1324084663.0
1972,EAS,1355934840.0
1973,EAS,1386816705.0
1974,EAS,1416257332.0
1975,EAS,1442992143.0
1976,EAS,1467572978.0
1977,EAS,1490458433.0
1978,EAS,1513242365.0
1979,EAS,1536454977.0
1980,EAS,1559219642.0
1981,EAS,1582802675.0
1982,EAS,1608709544.0
1983,EAS,1634587947.0
1984,EAS,1659196213.0
1985,EAS,1684377898.0
1986,EAS,1710979840.0
1987,EAS,1739049562.0
1988,EAS,1767394678.0
1989,EAS,1795112149.0
1990,EAS,1822134188.0
1991,EAS,1848265154.0
1992,EAS,1872676768.0
1993,EAS,1896190507.0
1994,EAS,1919576721.0
1995,EAS,1942464423.0
1996,EAS,1965146473.0
1997,EAS,1987315524.0
1998,EAS,2008705487.0
1999,EAS,2028650228.0
2000,EAS,2047640091.0
2001,EAS,2065912033.0
2002,EAS,2083186086.0
2003,EAS,2099602481.0
2004,EAS,2115458625.0
2005,EAS,2131146847.0
2006,EAS,2146744105.0
2007,EAS,2161785511.0
2008,EAS,2177119138.0
2009,EAS,2192059400.0
2010,EAS,2206884622.0
2011,EAS,2221672723.0
2012,EAS,2236817711.0
2013,EAS,2252044491.0
2014,EAS,2267485985.0
2015,EAS,2282863725.0
2016,EAS,2298500738.0
1964,ECA,291878870.0
1965,ECA,296127062.0
1966,ECA,299713085.0
1967,ECA,303366987.0
1968,ECA,306934517.0
1969,ECA,310433036.0
1970,ECA,313941308.0
1971,ECA,317445710.0
1972,ECA,320945150.0
1973,ECA,324422297.0
1974,ECA,327916784.0
1975,ECA,331431777.0
1976,ECA,335100864.0
1977,ECA,338710487.0
1978,ECA,342280107.0
1979,ECA,345827999.0
1980,ECA,349436199.0
1981,ECA,353122612.0
1982,ECA,356678273.0
1983,ECA,360204222.0
1984,ECA,363975241.0
1985,ECA,367739486.0
1986,ECA,371479741.0
1987,ECA,375227253.0
1988,ECA,378837514.0
1989,ECA,382076660.0
1990,ECA,384377493.0
1991,ECA,386437795.0
1992,ECA,388125580.0
1993,ECA,389516909.0
1994,ECA,390276284.0
1995,ECA,390572206.0
1996,ECA,390932358.0
1997,ECA,391289640.0
1998,ECA,391526555.0
1999,ECA,391495413.0
2000,ECA,391586634.0
2001,ECA,391315286.0
2002,ECA,391008840.0
2003,ECA,391172281.0
2004,ECA,391535458.0
2005,ECA,391952218.0
2006,ECA,392511901.0
2007,ECA,393215573.0
2008,ECA,394392601.0
2009,ECA,396042179.0
2010,ECA,398082642.0
2011,ECA,400311983.0
2012,ECA,402565848.0
2013,ECA,405069376.0
2014,ECA,407567142.0
2015,ECA,410111294.0
2016,ECA,412578888.0
1964,ECS,698355574.0
1965,ECS,706070460.0
1966,ECS,712830312.0
1967,ECS,719406020.0
1968,ECS,725725300.0
1969,ECS,731903738.0
1970,ECS,737524825.0
1971,ECS,743140589.0
1972,ECS,749283635.0
1973,ECS,755259488.0
1974,ECS,761029417.0
1975,ECS,766625562.0
1976,ECS,772129341.0
1977,ECS,777422111.0
1978,ECS,782653852.0
1979,ECS,787910910.0
1980,ECS,793299463.0
1981,ECS,798559755.0
1982,ECS,803342746.0
1983,ECS,807903880.0
1984,ECS,812662217.0
1985,ECS,817497806.0
1986,ECS,822470047.0
1987,ECS,827505281.0
1988,ECS,832553390.0
1989,ECS,837438555.0
1990,ECS,841520451.0
1991,ECS,845399308.0
1992,ECS,848877909.0
1993,ECS,851974036.0
1994,ECS,854082582.0
1995,ECS,855491301.0
1996,ECS,856857233.0
1997,ECS,858165406.0
1998,ECS,859298084.0
1999,ECS,860319121.0
2000,ECS,861278544.0
2001,ECS,862347956.0
2002,ECS,863936837.0
2003,ECS,866215697.0
2004,ECS,868808153.0
2005,ECS,871456632.0
2006,ECS,874157191.0
2007,ECS,877300670.0
2008,ECS,880932055.0
2009,ECS,884469396.0
2010,ECS,887926793.0
2011,ECS,890162077.0
2012,ECS,893786694.0
2013,ECS,898057341.0
2014,ECS,902404181.0
2015,ECS,906707413.0
2016,ECS,910910900.0
1964,ECU,5093848.0
1965,ECU,5243980.0
1966,ECU,5399423.0
1967,ECU,5560013.0
1968,ECU,5725462.0
1969,ECU,5895368.0
1970,ECU,6069375.0
1971,ECU,6247421.0
1972,ECU,6429377.0
1973,ECU,6614840.0
1974,ECU,6803271.0
1975,ECU,6994331.0
1976,ECU,7187794.0
1977,ECU,7383713.0
1978,ECU,7582357.0
1979,ECU,7784074.0
1980,ECU,7989178.0
1981,ECU,8197648.0
1982,ECU,8409396.0
1983,ECU,8624594.0
1984,ECU,8843463.0
1985,ECU,9066100.0
1986,ECU,9292481.0
1987,ECU,9522362.0
1988,ECU,9755576.0
1989,ECU,9991870.0
1990,ECU,10230931.0
1991,ECU,10472476.0
1992,ECU,10716131.0
1993,ECU,10961460.0
1994,ECU,11207999.0
1995,ECU,11455205.0
1996,ECU,11703169.0
1997,ECU,11951457.0
1998,ECU,12198449.0
1999,ECU,12442109.0
2000,ECU,12681123.0
2001,ECU,12914660.0
2002,ECU,13143465.0
2003,ECU,13369678.0
2004,ECU,13596390.0
2005,ECU,13825839.0
2006,ECU,14059379.0
2007,ECU,14296554.0
2008,ECU,14535740.0
2009,ECU,14774412.0
2010,ECU,15011114.0
2011,ECU,15243885.0
2012,ECU,15474099.0
2013,ECU,15707473.0
2014,ECU,15951832.0
2015,ECU,16212022.0
2016,ECU,16491116.0
1964,EGY,29644875.0
1965,EGY,30433024.0
1966,EGY,31237597.0
1967,EGY,32056506.0
1968,EGY,32881852.0
1969,EGY,33703127.0
1970,EGY,34513851.0
1971,EGY,35311905.0
1972,EGY,36102670.0
1973,EGY,36896551.0
1974,EGY,37708144.0
1975,EGY,38549133.0
1976,EGY,39422731.0
1977,EGY,40329589.0
1978,EGY,41275728.0
1979,EGY,42267429.0
1980,EGY,43309063.0
1981,EGY,44400113.0
1982,EGY,45539295.0
1983,EGY,46728284.0
1984,EGY,47968643.0
1985,EGY,49258726.0
1986,EGY,50602360.0
1987,EGY,51991696.0
1988,EGY,53399243.0
1989,EGY,54788680.0
1990,EGY,56134478.0
1991,EGY,57424552.0
1992,EGY,58666812.0
1993,EGY,59880656.0
1994,EGY,61095804.0
1995,EGY,62334025.0
1996,EGY,63601632.0
1997,EGY,64892269.0
1998,EGY,66200259.0
1999,EGY,67515591.0
2000,EGY,68831561.0
2001,EGY,70152662.0
2002,EGY,71485044.0
2003,EGY,72826102.0
2004,EGY,74172073.0
2005,EGY,75523576.0
2006,EGY,76873670.0
2007,EGY,78232124.0
2008,EGY,79636081.0
2009,EGY,81134789.0
2010,EGY,82761244.0
2011,EGY,84529251.0
2012,EGY,86422240.0
2013,EGY,88404652.0
2014,EGY,90424668.0
2015,EGY,92442549.0
2016,EGY,94447071.0
1964,EMU,275163380.0
1965,EMU,277650954.0
1966,EMU,279969050.0
1967,EMU,281974870.0
1968,EMU,283866408.0
1969,EMU,285778639.0
1970,EMU,287338854.0
1971,EMU,288923399.0
1972,EMU,290874612.0
1973,EMU,292728242.0
1974,EMU,294399217.0
1975,EMU,295923529.0
1976,EMU,297251532.0
1977,EMU,298441848.0
1978,EMU,299652841.0
1979,EMU,300886487.0
1980,EMU,302184216.0
1981,EMU,303343114.0
1982,EMU,304174261.0
1983,EMU,304787497.0
1984,EMU,305299144.0
1985,EMU,305877743.0
1986,EMU,306640636.0
1987,EMU,307488377.0
1988,EMU,308516476.0
1989,EMU,309837575.0
1990,EMU,311262608.0
1991,EMU,312708132.0
1992,EMU,314162056.0
1993,EMU,315449093.0
1994,EMU,316366781.0
1995,EMU,317181461.0
1996,EMU,318003013.0
1997,EMU,318761752.0
1998,EMU,319433985.0
1999,EMU,320258891.0
2000,EMU,321310789.0
2001,EMU,322547874.0
2002,EMU,324125339.0
2003,EMU,325885957.0
2004,EMU,327682513.0
2005,EMU,329380417.0
2006,EMU,330922785.0
2007,EMU,332645162.0
2008,EMU,334274725.0
2009,EMU,335360891.0
2010,EMU,336151482.0
2011,EMU,335419656.0
2012,EMU,336159199.0
2013,EMU,337302111.0
2014,EMU,338462234.0
2015,EMU,339488382.0
2016,EMU,340481755.0
1964,ERI,1118152.0
1965,ERI,1148188.0
1966,ERI,1178875.0
1967,ERI,1210304.0
1968,ERI,1242633.0
1969,ERI,1276122.0
1970,ERI,1310947.0
1971,ERI,1347180.0
1972,ERI,1384789.0
1973,ERI,1423749.0
1974,ERI,1463986.0
1975,ERI,1505438.0
1976,ERI,1547978.0
1977,ERI,1591622.0
1978,ERI,1636771.0
1979,ERI,1683932.0
1980,ERI,1733423.0
1981,ERI,1784557.0
1982,ERI,1836825.0
1983,ERI,1890556.0
1984,ERI,1946299.0
1985,ERI,2003942.0
1986,ERI,2064803.0
1987,ERI,2127421.0
1988,ERI,2185607.0
1989,ERI,2231144.0
1990,ERI,2258649.0
1991,ERI,2266356.0
1992,ERI,2257593.0
1993,ERI,2238631.0
1994,ERI,2218436.0
1995,ERI,2204227.0
1996,ERI,2196467.0
1997,ERI,2195192.0
1998,ERI,2206439.0
1999,ERI,2237412.0
2000,ERI,2292413.0
2001,ERI,2374721.0
2002,ERI,2481059.0
2003,ERI,2600972.0
2004,ERI,2719809.0
2005,ERI,2826653.0
2006,ERI,2918209.0
2007,ERI,2996540.0
2008,ERI,3062782.0
2009,ERI,3119920.0
2010,ERI,3170437.0
2011,ERI,3213969.0
2012,ERI,
2013,ERI,
2014,ERI,
2015,ERI,
2016,ERI,
1964,ESP,31609195.0
1965,ESP,31954292.0
1966,ESP,32283194.0
1967,ESP,32682947.0
1968,ESP,33113134.0
1969,ESP,33441054.0
1970,ESP,33814531.0
1971,ESP,34224490.0
1972,ESP,34604469.0
1973,ESP,34988947.0
1974,ESP,35373335.0
1975,ESP,35757900.0
1976,ESP,36137812.0
1977,ESP,36511638.0
1978,ESP,36864898.0
1979,ESP,37191330.0
1980,ESP,37491165.0
1981,ESP,37758631.0
1982,ESP,37986012.0
1983,ESP,38171525.0
1984,ESP,38330364.0
1985,ESP,38469512.0
1986,ESP,38584624.0
1987,ESP,38684815.0
1988,ESP,38766939.0
1989,ESP,38827764.0
1990,ESP,38867322.0
1991,ESP,38966376.0
1992,ESP,39157685.0
1993,ESP,39361262.0
1994,ESP,39549108.0
1995,ESP,39724050.0
1996,ESP,39889852.0
1997,ESP,40057389.0
1998,ESP,40223509.0
1999,ESP,40386875.0
2000,ESP,40567864.0
2001,ESP,40850412.0
2002,ESP,41431558.0
2003,ESP,42187645.0
2004,ESP,42921895.0
2005,ESP,43653155.0
2006,ESP,44397319.0
2007,ESP,45226803.0
2008,ESP,45954106.0
2009,ESP,46362946.0
2010,ESP,46576897.0
2011,ESP,46742697.0
2012,ESP,46773055.0
2013,ESP,46620045.0
2014,ESP,46480882.0
2015,ESP,46444832.0
2016,ESP,46484062.0
1964,EST,1277086.0
1965,EST,1294566.0
1966,EST,1308597.0
1967,EST,1318946.0
1968,EST,1331214.0
1969,EST,1345249.0
1970,EST,1360076.0
1971,EST,1376955.0
1972,EST,1392518.0
1973,EST,1405951.0
1974,EST,1418169.0
1975,EST,1429352.0
1976,EST,1439576.0
1977,EST,1450211.0
1978,EST,1460188.0
1979,EST,1468333.0
1980,EST,1477219.0
1981,EST,1487666.0
1982,EST,1498414.0
1983,EST,1508745.0
1984,EST,1518617.0
1985,EST,1528781.0
1986,EST,1540190.0
1987,EST,1552221.0
1988,EST,1561900.0
1989,EST,1568131.0
1990,EST,1569174.0
1991,EST,1561314.0
1992,EST,1533091.0
1993,EST,1494128.0
1994,EST,1462514.0
1995,EST,1436634.0
1996,EST,1415594.0
1997,EST,1399535.0
1998,EST,1386156.0
1999,EST,1390244.0
2000,EST,1396985.0
2001,EST,1388115.0
2002,EST,1379350.0
2003,EST,1370720.0
2004,EST,1362550.0
2005,EST,1354775.0
2006,EST,1346810.0
2007,EST,1340680.0
2008,EST,1337090.0
2009,EST,1334515.0
2010,EST,1331475.0
2011,EST,1327439.0
2012,EST,1322696.0
2013,EST,1317997.0
2014,EST,1314545.0
2015,EST,1315407.0
2016,EST,1315790.0
1964,ETH,24397010.0
1965,ETH,25013634.0
1966,ETH,25641040.0
1967,ETH,26280135.0
1968,ETH,26944386.0
1969,ETH,27652715.0
1970,ETH,28415080.0
1971,ETH,29248650.0
1972,ETH,30140799.0
1973,ETH,31036670.0
1974,ETH,31861353.0
1975,ETH,32566855.0
1976,ETH,33128151.0
1977,ETH,33577240.0
1978,ETH,33993301.0
1979,ETH,34487806.0
1980,ETH,35141703.0
1981,ETH,35984531.0
1982,ETH,36995246.0
1983,ETH,38142679.0
1984,ETH,39374346.0
1985,ETH,40652146.0
1986,ETH,41965696.0
1987,ETH,43329238.0
1988,ETH,44757205.0
1989,ETH,46272308.0
1990,ETH,47887864.0
1991,ETH,49609976.0
1992,ETH,51423591.0
1993,ETH,53295556.0
1994,ETH,55180993.0
1995,ETH,57047906.0
1996,ETH,58883531.0
1997,ETH,60697443.0
1998,ETH,62507724.0
1999,ETH,64343008.0
2000,ETH,66224809.0
2001,ETH,68159422.0
2002,ETH,70142090.0
2003,ETH,72170581.0
2004,ETH,74239508.0
2005,ETH,76346310.0
2006,ETH,78489205.0
2007,ETH,80674343.0
2008,ETH,82916236.0
2009,ETH,85233923.0
2010,ETH,87639962.0
2011,ETH,90139928.0
2012,ETH,92726982.0
2013,ETH,95385793.0
2014,ETH,98094264.0
2015,ETH,100835453.0
2016,ETH,103603461.0
1964,EUU,369850237.0
1965,EUU,373032729.0
1966,EUU,376039129.0
1967,EUU,378917964.0
1968,EUU,381605442.0
1969,EUU,384216977.0
1970,EUU,386322917.0
1971,EUU,388391948.0
1972,EUU,390995000.0
1973,EUU,393524745.0
1974,EUU,395949381.0
1975,EUU,398316579.0
